Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.001,0.02809758,0.003,-0.01099687,0.003,0.01949856,0.001,3.416386,0.004,0,0.004,0.08800017,64.40073,"3.A.1",22.21126,"",0.003,6.888943,0.01,24.15521,
0.004,0.01566359,0.006,-0.01379309,0.006,0.006676647,0.004,3.417706,0.011,0,0.011,0.08800017,64.60065,"3.A.2",,,0.009,6.888909,0.022,24.1619,
0.006,0.01642931,0.009,0.003439452,0.009,0.01102685,0.006,3.419139,0.017,0,0.017,0.08800017,64.80066,"3.A.3",,,0.016,6.888761,0.035,24.19417,
0.009,0.01538441,0.013,0.002376465,0.013,0.01656521,0.009,3.419503,0.023,0,0.023,0.08800017,65.00072,"3.A.4",,,0.022,6.888774,0.048,24.22589,
0.012,0.01871044,0.016,0.003549419,0.016,-0.005412159,0.012,3.41982,0.03,0,0.03,0.08800017,65.20065,"3.A.5",,,0.029,6.888764,0.061,24.25494,
0.014,0.0205639,0.019,0.0006023906,0.019,-0.009308122,0.014,3.419939,0.036,0,0.036,0.08800017,65.40071,"3.B.1",,,0.035,6.888722,0.074,24.28084,
0.017,0.007660241,0.022,0.00784907,0.022,0.009020062,0.017,3.419745,0.043,0,0.043,0.08800017,65.6007,"3.B.2",,,0.042,6.888629,0.087,24.30304,
0.019,0.007787284,0.025,0.01537708,0.025,0.004684377,0.019,3.419564,0.049,0,0.049,0.08800017,65.80079,"3.B.3",,,0.048,6.888628,0.1,24.32071,
0.022,0.008712448,0.029,0.01241028,0.029,-0.00396789,0.022,3.41942,0.056,0,0.056,0.08800017,66.00043,"Waste(Frac)",,,0.054,6.888562,0.112,24.33272,
0.024,0.004445098,0.032,-0.00308625,0.032,-0.000597914,0.024,3.419342,0.062,0,0.062,0.08800017,66.00072,"3.B.4",,,0.061,6.888535,0.125,24.33888,
0.027,0.01420946,0.035,0.01357222,0.035,8.976151E-05,0.027,3.419374,0.068,0,0.068,0.08800017,67.00076,"3.B.5",,,0.067,6.888517,0.138,24.33875,
0.03,0.009552033,0.038,0.02344052,0.038,0.006254589,0.03,3.41902,0.075,0,0.075,0.08800017,67.93036,"Waste(Frac)",,,0.074,6.888534,0.151,24.33417,
0.032,0.006518792,0.041,0.01176623,0.041,-0.00081572,0.032,3.418889,0.081,0,0.081,0.08800017,78.06143,"3.C.1",,,0.08,6.888484,0.164,24.32696,
0.035,0.008413025,0.045,0.007107595,0.045,0.006103356,0.035,3.418786,0.088,0,0.088,0.08800017,79.06062,"Waste(Frac)",,,0.087,6.888528,0.177,24.31796,
0.037,-0.001707081,0.048,-0.002564993,0.048,-0.0008482652,0.037,3.418581,0.094,0,0.094,0.08800017,79.62456,"Waste",,,0.093,6.888494,0.19,24.3084,
0.04,0.008100045,0.051,-0.01399343,0.051,-0.001383981,0.04,3.418374,0.101,0,0.101,0.08800017,,,,,0.099,6.888577,0.202,24.29901,
0.042,0.007376048,0.054,0.002480488,0.054,0.006765393,0.042,3.418115,0.107,0,0.107,0.08800017,,,,,0.106,6.888562,0.215,24.29013,
0.045,0.00525518,0.058,0.01654848,0.058,0.01126003,0.045,3.418058,0.113,0,0.113,0.08800017,,,,,0.112,6.888678,0.228,24.28196,
0.048,0.007092022,0.061,0.003842135,0.061,-0.0001300097,0.048,3.417924,0.12,0,0.12,0.08800017,,,,,0.119,6.888631,0.241,24.27366,
0.05,-0.002540706,0.064,0.0008634678,0.064,0.01336425,0.05,3.417941,0.126,0,0.126,0.08800017,,,,,0.125,6.888632,0.254,24.26621,
0.053,-0.002238652,0.067,0.008066941,0.067,0.002642175,0.053,3.417963,0.133,0,0.133,0.08800017,,,,,0.132,6.888663,0.267,24.25867,
0.055,-0.007737997,0.07,0.00596899,0.07,0.01554332,0.055,3.418007,0.139,0,0.139,0.08800017,,,,,0.138,6.888658,0.28,24.25119,
0.058,0.009770729,0.074,0.004849287,0.074,0.01496173,0.058,3.417719,0.146,0,0.146,0.08800017,,,,,0.144,6.888754,0.292,24.24459,
0.06,0.008949568,0.077,0.006846434,0.077,0.007143153,0.06,3.417392,0.152,0,0.152,0.08800017,,,,,0.151,6.888739,0.305,24.2385,
0.063,0.003793192,0.08,0.009047819,0.08,0.01361546,0.063,3.417452,0.158,0,0.158,0.08800017,,,,,0.157,6.888819,0.318,24.23315,
0.066,0.01241431,0.083,-0.01079651,0.083,0.01687638,0.066,3.417544,0.165,0,0.165,0.08800017,,,,,0.164,6.888828,0.331,24.2284,
0.068,0.01477378,0.086,-0.001212092,0.086,0.0103513,0.068,3.417471,0.171,0,0.171,0.08800017,,,,,0.17,6.888901,0.344,24.22409,
0.071,0.00685478,0.09,0.007155352,0.09,0.01541007,0.071,3.417433,0.178,0,0.178,0.08800017,,,,,0.177,6.888951,0.357,24.21976,
0.073,0.01588807,0.093,0.01718897,0.093,0.0125386,0.073,3.41723,0.184,0,0.184,0.08800017,,,,,0.183,6.888978,0.37,24.21592,
0.076,0.0211925,0.096,0.0238152,0.096,0.02074143,0.076,3.417138,0.191,0,0.191,0.08800017,,,,,0.189,6.889062,0.383,24.21297,
0.078,0.02023771,0.099,0.01663456,0.099,0.01301865,0.078,3.417023,0.197,0,0.197,0.08800017,,,,,0.196,6.889052,0.395,24.21051,
0.081,0.007338574,0.103,0.01184754,0.103,0.001392817,0.081,3.416985,0.204,0,0.204,0.08800017,,,,,0.202,6.889073,0.408,24.20829,
0.084,0.01354939,0.106,0.008543019,0.106,0.01894268,0.084,3.416878,0.21,0,0.21,0.08800017,,,,,0.209,6.88909,0.421,24.20687,
0.086,0.0155664,0.109,-0.004140358,0.109,0.01271496,0.086,3.416779,0.216,0,0.216,0.08800017,,,,,0.215,6.889104,0.434,24.20564,
0.089,0.01858704,0.112,0.01581457,0.112,0.01138152,0.089,3.416621,0.223,0,0.223,0.08800017,,,,,0.222,6.889225,0.447,24.20424,
0.091,0.0328676,0.115,0.01054746,0.115,0.01075074,0.091,3.416754,0.229,0,0.229,0.08800017,,,,,0.228,6.889184,0.46,24.20305,
0.094,0.03157697,0.119,0.01536541,0.119,0.01226696,0.094,3.416772,0.236,0,0.236,0.08800017,,,,,0.234,6.889292,0.473,24.20182,
0.096,0.02227874,0.122,0.007858821,0.122,0.00064028,0.096,3.416885,0.242,0,0.242,0.08800017,,,,,0.241,6.889275,0.485,24.19946,
0.099,0.005392388,0.125,0.004098655,0.125,0.007369804,0.099,3.416646,0.249,0,0.249,0.08800017,,,,,0.247,6.889297,0.498,24.19719,
0.102,0.003657786,0.128,0.006745065,0.128,0.008083332,0.102,3.4168,0.255,0,0.255,0.08800017,,,,,0.254,6.889268,0.511,24.19517,
0.104,0.01449415,0.131,-0.003450203,0.131,0.01332073,0.104,3.416752,0.261,0,0.261,0.08800017,,,,,0.26,6.889286,0.524,24.19304,
0.107,0.02309873,0.135,-0.005389441,0.135,0.01291959,0.107,3.416715,0.268,0,0.268,0.08800017,,,,,0.267,6.889303,0.537,24.19148,
0.109,0.02883659,0.138,-0.004364053,0.138,0.001210059,0.109,3.416874,0.274,0,0.274,0.08800017,,,,,0.273,6.88925,0.55,24.1902,
0.112,0.02356482,0.141,0.005685792,0.141,-0.004951198,0.112,3.416794,0.281,0,0.281,0.08800017,,,,,0.279,6.889247,0.563,24.18927,
0.114,0.02118528,0.144,-0.00759943,0.144,-0.0005369901,0.114,3.416798,0.287,0,0.287,0.08800017,,,,,0.286,6.889196,0.575,24.1883,
0.117,0.02767179,0.148,-0.005893059,0.148,0.01405751,0.117,3.416974,0.294,0,0.294,0.08800017,,,,,0.292,6.88938,0.588,24.18708,
0.12,0.01755429,0.151,-0.005894746,0.151,0.0038917,0.12,3.417079,0.3,0,0.3,0.08800017,,,,,0.299,6.889323,0.601,24.18606,
0.122,0.01881773,0.154,-0.0005821766,0.154,0.0003059665,0.122,3.417074,0.306,0,0.306,0.08800017,,,,,0.305,6.8893,0.614,24.18505,
0.125,0.01007586,0.157,-0.0003179908,0.157,0.02252487,0.125,3.417183,0.313,0,0.313,0.08800017,,,,,0.312,6.889314,0.627,24.18455,
0.127,0.006549581,0.16,-0.001507368,0.16,0.004105166,0.127,3.417266,0.319,0,0.319,0.08800017,,,,,0.318,6.889368,0.64,24.18373,
0.13,0.007911344,0.164,0.008516828,0.164,-0.001153727,0.13,3.417249,0.326,0,0.326,0.08800017,,,,,0.324,6.88948,0.653,24.18382,
0.132,0.01406712,0.167,0.004273778,0.167,0.00391498,0.132,3.417229,0.332,0,0.332,0.08800017,,,,,0.331,6.889404,0.665,24.18353,
0.135,0.006507314,0.17,0.003767616,0.17,0.007382018,0.135,3.417125,0.339,0,0.339,0.08800017,,,,,0.337,6.889407,0.678,24.18343,
0.138,0.004851285,0.173,0.01822332,0.173,0.008238054,0.138,3.417179,0.345,0,0.345,0.08800017,,,,,0.344,6.889444,0.691,24.1831,
0.14,0.01692918,0.176,0.009105123,0.176,0.01519201,0.14,3.417046,0.351,0,0.351,0.08800017,,,,,0.35,6.889455,0.704,24.183,
0.143,0.01634871,0.18,0.0164095,0.18,0.009438968,0.143,3.417276,0.358,0,0.358,0.08800017,,,,,0.357,6.889422,0.717,24.18318,
0.145,0.004681858,0.183,-0.001873636,0.183,0.009213226,0.145,3.417229,0.364,0,0.364,0.08800017,,,,,0.363,6.889324,0.73,24.18393,
0.148,0.01035766,0.186,0.004302382,0.186,0.01887075,0.148,3.417268,0.371,0,0.371,0.08800017,,,,,0.369,6.889359,0.743,24.185,
0.15,0.01251455,0.189,-0.009207777,0.189,0.008301406,0.15,3.417276,0.377,0,0.377,0.08800017,,,,,0.376,6.889293,0.755,24.1853,
0.153,0.00266976,0.193,0.007340795,0.193,0.007462954,0.153,3.417357,0.384,0,0.384,0.08800017,,,,,0.382,6.889348,0.768,24.18542,
0.156,0.01021098,0.196,0.01220159,0.196,0.0146868,0.156,3.417632,0.39,0,0.39,0.08800017,,,,,0.389,6.889351,0.781,24.18522,
0.158,0.01302874,0.199,0.006519981,0.199,0.004734632,0.158,3.417519,0.396,0,0.396,0.08800017,,,,,0.395,6.889313,0.794,24.18462,
