Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.002,0.02860378,0.002,0.0158789,0.002,0.0124782,0.002,3.423861,0.005,0,0.005,0.08800017,64.40081,"3.A.1",22.21131,"",0.005,6.850789,0.008,23.44882,
0.004,0.03200954,0.005,0.03864973,0.005,0.03009369,0.004,3.425227,0.011,0,0.011,0.08800017,64.60085,"3.A.2",,,0.012,6.850812,0.021,23.45315,
0.007,0.03562821,0.008,0.03311964,0.008,0.03601552,0.007,3.426885,0.018,0,0.018,0.08800017,64.80078,"3.A.3",,,0.018,6.850595,0.034,23.48215,
0.009,0.03232116,0.011,0.04184583,0.011,0.02531315,0.009,3.427642,0.024,0,0.024,0.08800017,65.00084,"3.A.4",,,0.025,6.850357,0.046,23.51271,
0.012,0.03091967,0.014,0.03589,0.014,0.02529654,0.012,3.427714,0.031,0,0.031,0.08800017,65.20083,"3.A.5",,,0.031,6.849935,0.059,23.54084,
0.015,0.04012648,0.018,0.03675062,0.018,0.03627827,0.015,3.42768,0.037,0,0.037,0.08800017,65.40076,"3.B.1",,,0.037,6.849888,0.072,23.56615,
0.017,0.04267566,0.021,0.0261407,0.021,0.03646331,0.017,3.42768,0.044,0,0.044,0.08800017,65.60083,"3.B.2",,,0.044,6.849581,0.085,23.58841,
0.02,0.04196899,0.024,0.03099173,0.024,0.02979549,0.02,3.427509,0.05,0,0.05,0.08800017,65.8009,"3.B.3",,,0.05,6.849277,0.098,23.60839,
0.022,0.03262306,0.027,0.04084742,0.027,0.02959718,0.022,3.427255,0.056,0,0.056,0.08800017,66.00031,"Waste(Frac)",,,0.057,6.848952,0.111,23.6251,
0.025,0.03598536,0.031,0.02983662,0.031,0.04100711,0.025,3.42718,0.063,0,0.063,0.08800017,66.0006,"3.B.4",,,0.063,6.84883,0.124,23.63829,
0.027,0.0459758,0.034,0.03847421,0.034,0.03892394,0.027,3.426989,0.069,0,0.069,0.08800017,67.0006,"3.B.5",,,0.07,6.848589,0.136,23.64782,
0.03,0.04360959,0.037,0.02739969,0.037,0.04016911,0.03,3.426625,0.076,0,0.076,0.08800017,67.93041,"Waste(Frac)",,,0.076,6.848388,0.149,23.6532,
0.033,0.04339709,0.04,0.03174015,0.04,0.03279743,0.033,3.426747,0.082,0,0.082,0.08800017,78.06147,"3.C.1",,,0.082,6.84825,0.162,23.65521,
0.035,0.05274558,0.043,0.04258541,0.043,0.03702667,0.035,3.426553,0.089,0,0.089,0.08800017,79.06059,"Waste(Frac)",,,0.089,6.84808,0.175,23.6542,
0.038,0.04161672,0.047,0.04314393,0.047,0.04026871,0.038,3.426443,0.095,0,0.095,0.08800017,79.62432,"Waste",,,0.095,6.848,0.188,23.65021,
0.04,0.04906178,0.05,0.03632758,0.05,0.04129532,0.04,3.426259,0.102,0,0.102,0.08800017,,,,,0.102,6.847903,0.201,23.64444,
0.043,0.04236928,0.053,0.0475478,0.053,0.04552717,0.043,3.425859,0.108,0,0.108,0.08800017,,,,,0.108,6.847823,0.214,23.6361,
0.045,0.04074018,0.056,0.05145721,0.056,0.04588768,0.045,3.425889,0.114,0,0.114,0.08800017,,,,,0.115,6.847878,0.227,23.62717,
0.048,0.0338535,0.06,0.04828387,0.06,0.03761225,0.048,3.425655,0.121,0,0.121,0.08800017,,,,,0.121,6.847873,0.239,23.61801,
0.051,0.03247819,0.063,0.0401084,0.063,0.03667113,0.051,3.425651,0.127,0,0.127,0.08800017,,,,,0.128,6.847806,0.252,23.60838,
0.053,0.0368865,0.066,0.04835497,0.066,0.04476193,0.053,3.425484,0.134,0,0.134,0.08800017,,,,,0.134,6.847827,0.265,23.59905,
0.056,0.04666159,0.069,0.04255959,0.069,0.04941466,0.056,3.425265,0.14,0,0.14,0.08800017,,,,,0.14,6.847957,0.278,23.59023,
0.058,0.04562606,0.072,0.0485939,0.072,0.04212395,0.058,3.425327,0.147,0,0.147,0.08800017,,,,,0.147,6.847946,0.291,23.58242,
0.061,0.0482103,0.076,0.05709609,0.076,0.04209265,0.061,3.424999,0.153,0,0.153,0.08800017,,,,,0.153,6.848002,0.304,23.57513,
0.063,0.0527655,0.079,0.05991859,0.079,0.04533453,0.063,3.424788,0.159,0,0.159,0.08800017,,,,,0.16,6.848069,0.317,23.56829,
0.066,0.0538734,0.082,0.04321203,0.082,0.04706295,0.066,3.424717,0.166,0,0.166,0.08800017,,,,,0.166,6.848121,0.329,23.56264,
0.069,0.04668425,0.085,0.03950594,0.085,0.05702206,0.069,3.42473,0.172,0,0.172,0.08800017,,,,,0.173,6.848187,0.342,23.55709,
0.071,0.06117417,0.088,0.04312076,0.088,0.05619732,0.071,3.424606,0.179,0,0.179,0.08800017,,,,,0.179,6.84831,0.355,23.55308,
0.074,0.06707645,0.092,0.04033154,0.092,0.05231717,0.074,3.424701,0.185,0,0.185,0.08800017,,,,,0.185,6.84847,0.368,23.54932,
0.076,0.06342702,0.095,0.06285737,0.095,0.04233634,0.076,3.424523,0.192,0,0.192,0.08800017,,,,,0.192,6.848608,0.381,23.54597,
0.079,0.06287774,0.098,0.05694979,0.098,0.04930408,0.079,3.424485,0.198,0,0.198,0.08800017,,,,,0.198,6.848676,0.394,23.54299,
0.082,0.04504484,0.101,0.05489408,0.101,0.04421236,0.082,3.424244,0.204,0,0.204,0.08800017,,,,,0.205,6.848888,0.407,23.54011,
0.084,0.04810119,0.105,0.05007495,0.105,0.05087101,0.084,3.424398,0.211,0,0.211,0.08800017,,,,,0.211,6.848975,0.42,23.53748,
0.087,0.05901209,0.108,0.06719914,0.108,0.05611525,0.087,3.424411,0.217,0,0.217,0.08800017,,,,,0.218,6.84907,0.432,23.53533,
0.089,0.05836855,0.111,0.05982264,0.111,0.05548874,0.089,3.424244,0.224,0,0.224,0.08800017,,,,,0.224,6.849253,0.445,23.53377,
0.092,0.04445705,0.114,0.04988832,0.114,0.05505535,0.092,3.424248,0.23,0,0.23,0.08800017,,,,,0.23,6.849335,0.458,23.53249,
0.094,0.04892611,0.117,0.05249356,0.117,0.04627986,0.094,3.424301,0.237,0,0.237,0.08800017,,,,,0.237,6.849487,0.471,23.53137,
0.097,0.05492109,0.121,0.06186917,0.121,0.05787345,0.097,3.424265,0.243,0,0.243,0.08800017,,,,,0.243,6.849538,0.484,23.53062,
0.1,0.05646605,0.124,0.05634839,0.124,0.05370466,0.1,3.424219,0.249,0,0.249,0.08800017,,,,,0.25,6.849631,0.497,23.52943,
0.102,0.06536942,0.127,0.0643416,0.127,0.04830746,0.102,3.424232,0.256,0,0.256,0.08800017,,,,,0.256,6.849775,0.51,23.52844,
0.105,0.06205082,0.13,0.05606692,0.13,0.04393288,0.105,3.424233,0.262,0,0.262,0.08800017,,,,,0.263,6.849886,0.522,23.52731,
0.107,0.07652881,0.133,0.05046039,0.133,0.04139738,0.107,3.424172,0.269,0,0.269,0.08800017,,,,,0.269,6.85008,0.535,23.52687,
0.11,0.07192037,0.137,0.04094851,0.137,0.04723205,0.11,3.424181,0.275,0,0.275,0.08800017,,,,,0.275,6.850202,0.548,23.52656,
0.112,0.06205643,0.14,0.05542382,0.14,0.0477875,0.112,3.424224,0.282,0,0.282,0.08800017,,,,,0.282,6.850246,0.561,23.52626,
0.115,0.06255376,0.143,0.0659309,0.143,0.04642666,0.115,3.424211,0.288,0,0.288,0.08800017,,,,,0.288,6.850489,0.574,23.5262,
0.118,0.05666813,0.146,0.05962968,0.146,0.05181257,0.118,3.424224,0.294,0,0.294,0.08800017,,,,,0.295,6.85052,0.587,23.52621,
0.12,0.06023326,0.15,0.05536855,0.15,0.06142916,0.12,3.424372,0.301,0,0.301,0.08800017,,,,,0.301,6.850646,0.6,23.52703,
0.123,0.06147831,0.153,0.06222896,0.153,0.05883554,0.123,3.424292,0.307,0,0.307,0.08800017,,,,,0.308,6.850687,0.612,23.52808,
0.125,0.05995759,0.156,0.04499324,0.156,0.05410413,0.125,3.42431,0.314,0,0.314,0.08800017,,,,,0.314,6.850876,0.625,23.52968,
0.128,0.0573049,0.159,0.04668124,0.159,0.05767672,0.128,3.424244,0.32,0,0.32,0.08800017,,,,,0.32,6.85092,0.638,23.53104,
0.13,0.05237377,0.162,0.0574688,0.162,0.0500746,0.13,3.424377,0.327,0,0.327,0.08800017,,,,,0.327,6.850995,0.651,23.53245,
0.133,0.04115436,0.166,0.05081166,0.166,0.05607118,0.133,3.424473,0.333,0,0.333,0.08800017,,,,,0.333,6.851099,0.664,23.5342,
0.136,0.0412598,0.169,0.0623421,0.169,0.05205967,0.136,3.424379,0.339,0,0.339,0.08800017,,,,,0.34,6.8512,0.677,23.53651,
0.138,0.05886771,0.172,0.06305104,0.172,0.06113933,0.138,3.424453,0.346,0,0.346,0.08800017,,,,,0.346,6.85123,0.69,23.53897,
0.141,0.06420609,0.175,0.05961651,0.175,0.05645645,0.141,3.42447,0.352,0,0.352,0.08800017,,,,,0.353,6.851415,0.703,23.54091,
0.143,0.06285193,0.178,0.07235926,0.178,0.0504108,0.143,3.424374,0.359,0,0.359,0.08800017,,,,,0.359,6.851508,0.715,23.54306,
0.146,0.0550843,0.182,0.04794589,0.182,0.05824826,0.146,3.424436,0.365,0,0.365,0.08800017,,,,,0.366,6.85175,0.728,23.54476,
0.148,0.05612781,0.185,0.06326601,0.185,0.06112484,0.148,3.424494,0.372,0,0.372,0.08800017,,,,,0.372,6.851803,0.741,23.54608,
0.151,0.05663341,0.188,0.07095537,0.188,0.05455022,0.151,3.42455,0.378,0,0.378,0.08800017,,,,,0.378,6.851843,0.754,23.54721,
0.154,0.05757266,0.191,0.0628951,0.191,0.07009255,0.154,3.424914,0.385,0,0.385,0.08800017,,,,,0.385,6.851959,0.767,23.54856,
0.156,0.06231075,0.195,0.06236255,0.195,0.06681311,0.156,3.424918,0.391,0,0.391,0.08800017,,,,,0.391,6.852097,0.78,23.55001,
0.159,0.05570614,0.198,0.05082453,0.198,0.06880686,0.159,3.424773,0.397,0,0.397,0.08800017,,,,,0.398,6.852147,0.793,23.55153,
0.161,0.05809433,0.201,0.06740115,0.201,0.06428842,0.161,3.42476,0.404,0,0.404,0.08800017,,,,,0.404,6.852262,0.805,23.55391,
