Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.001,0.01065179,0.003,0.0388232,0.003,-0.003065611,0.001,3.419471,0.004,0,0.004,0.08800017,64.4007,"3.A.1",22.21124,"",0.003,6.907723,0.01,24.14757,
0.004,0.01432225,0.006,0.04170893,0.006,0.001430601,0.004,3.420402,0.011,0,0.011,0.08800017,64.60072,"3.A.2",,,0.009,6.907688,0.023,24.15517,
0.006,0.002586086,0.009,0.04207363,0.009,0.003803746,0.006,3.421952,0.017,0,0.017,0.08800017,64.80072,"3.A.3",,,0.016,6.907608,0.035,24.18638,
0.009,0.005795411,0.013,0.05310215,0.013,0.01592079,0.009,3.422773,0.024,0,0.024,0.08800017,65.00066,"3.A.4",,,0.022,6.907501,0.048,24.21702,
0.012,0.01302783,0.016,0.05261728,0.016,0.01126401,0.012,3.423039,0.03,0,0.03,0.08800017,65.2007,"3.A.5",,,0.029,6.907347,0.061,24.24478,
0.014,0.01395778,0.019,0.04134218,0.019,0.01006275,0.014,3.423033,0.036,0,0.036,0.08800017,65.40078,"3.B.1",,,0.035,6.907252,0.074,24.26937,
0.017,0.01613561,0.022,0.04376451,0.022,-0.0001564583,0.017,3.42293,0.043,0,0.043,0.08800017,65.60078,"3.B.2",,,0.042,6.907067,0.087,24.29095,
0.019,0.008714632,0.025,0.03794834,0.025,0.008543754,0.019,3.422626,0.049,0,0.049,0.08800017,65.80071,"3.B.3",,,0.048,6.906961,0.1,24.30838,
0.022,0.02788665,0.029,0.03723285,0.029,0.001937568,0.022,3.422453,0.056,0,0.056,0.08800017,66.00033,"Waste(Frac)",,,0.054,6.906862,0.113,24.3213,
0.024,0.02092553,0.032,0.0303411,0.032,0.004677105,0.024,3.422428,0.062,0,0.062,0.08800017,66.00063,"3.B.4",,,0.061,6.906806,0.125,24.3296,
0.027,0.01597202,0.035,0.02481772,0.035,0.0006139447,0.027,3.422205,0.069,0,0.069,0.08800017,67.00073,"3.B.5",,,0.067,6.906609,0.138,24.33367,
0.03,0.0116781,0.038,0.05081328,0.038,0.007375279,0.03,3.422122,0.075,0,0.075,0.08800017,67.93044,"Waste(Frac)",,,0.074,6.906528,0.151,24.33353,
0.032,0.006166958,0.042,0.04048293,0.042,-0.001300305,0.032,3.421844,0.081,0,0.081,0.08800017,78.06137,"3.C.1",,,0.08,6.906316,0.164,24.33033,
0.035,0.01268459,0.045,0.04015926,0.045,0.002895262,0.035,3.421599,0.088,0,0.088,0.08800017,79.06084,"Waste(Frac)",,,0.087,6.906253,0.177,24.32512,
0.037,0.01259791,0.048,0.04001002,0.048,0.004375237,0.037,3.421406,0.094,0,0.094,0.08800017,79.62451,"Waste",,,0.093,6.906143,0.19,24.31826,
0.04,0.01109573,0.051,0.04404308,0.051,0.01134324,0.04,3.421143,0.101,0,0.101,0.08800017,,,,,0.099,6.906092,0.203,24.31026,
0.042,0.009262513,0.054,0.04028756,0.054,0.008534233,0.042,3.420943,0.107,0,0.107,0.08800017,,,,,0.106,6.905993,0.215,24.3017,
0.045,0.01598066,0.058,0.03959401,0.058,0.002810946,0.045,3.420812,0.114,0,0.114,0.08800017,,,,,0.112,6.905889,0.228,24.29324,
0.048,0.02683035,0.061,0.04774633,0.061,0.005707611,0.048,3.420639,0.12,0,0.12,0.08800017,,,,,0.119,6.905892,0.241,24.2852,
0.05,0.01515567,0.064,0.05029215,0.064,0.01602935,0.05,3.420586,0.126,0,0.126,0.08800017,,,,,0.125,6.905796,0.254,24.27835,
0.053,0.02299025,0.067,0.04286816,0.067,0.0327015,0.053,3.420223,0.133,0,0.133,0.08800017,,,,,0.132,6.905767,0.267,24.27204,
0.055,0.01975332,0.07,0.04058081,0.07,0.01785122,0.055,3.420286,0.139,0,0.139,0.08800017,,,,,0.138,6.90564,0.28,24.26621,
0.058,0.01516267,0.074,0.04061516,0.074,0.02987292,0.058,3.42039,0.146,0,0.146,0.08800017,,,,,0.144,6.905582,0.293,24.26088,
0.06,0.01791629,0.077,0.0348908,0.077,0.01988793,0.06,3.420199,0.152,0,0.152,0.08800017,,,,,0.151,6.905506,0.305,24.25645,
0.063,0.02200213,0.08,0.04428588,0.08,0.02709011,0.063,3.419959,0.159,0,0.159,0.08800017,,,,,0.157,6.905438,0.318,24.25211,
0.066,0.02011536,0.083,0.04154957,0.083,0.02381185,0.066,3.419762,0.165,0,0.165,0.08800017,,,,,0.164,6.905522,0.331,24.24831,
0.068,0.01638808,0.087,0.05241252,0.087,0.01739795,0.068,3.419728,0.171,0,0.171,0.08800017,,,,,0.17,6.905442,0.344,24.2454,
0.071,0.01407007,0.09,0.03808271,0.09,0.008360765,0.071,3.419669,0.178,0,0.178,0.08800017,,,,,0.177,6.905429,0.357,24.24235,
0.073,0.02946286,0.093,0.03940957,0.093,0.01148329,0.073,3.41968,0.184,0,0.184,0.08800017,,,,,0.183,6.905399,0.37,24.23905,
0.076,0.02968581,0.096,0.03681451,0.096,0.02033264,0.076,3.419557,0.191,0,0.191,0.08800017,,,,,0.189,6.905412,0.383,24.23599,
0.078,0.02240071,0.099,0.020638,0.099,0.01102182,0.078,3.419441,0.197,0,0.197,0.08800017,,,,,0.196,6.905369,0.395,24.23369,
0.081,0.0334825,0.103,0.0362903,0.103,0.02531068,0.081,3.419286,0.204,0,0.204,0.08800017,,,,,0.202,6.90535,0.408,24.23155,
0.084,0.0278314,0.106,0.04240193,0.106,0.02250543,0.084,3.419367,0.21,0,0.21,0.08800017,,,,,0.209,6.905485,0.421,24.22997,
0.086,0.02055279,0.109,0.03026697,0.109,0.01446587,0.086,3.419321,0.216,0,0.216,0.08800017,,,,,0.215,6.905364,0.434,24.22842,
0.089,0.01821807,0.112,0.02836958,0.112,0.02248223,0.089,3.419454,0.223,0,0.223,0.08800017,,,,,0.222,6.905463,0.447,24.2275,
0.091,0.01006545,0.115,0.0217772,0.115,0.01637098,0.091,3.419452,0.229,0,0.229,0.08800017,,,,,0.228,6.90551,0.46,24.2263,
0.094,0.002633546,0.119,0.04949978,0.119,0.01986128,0.094,3.419347,0.236,0,0.236,0.08800017,,,,,0.234,6.905435,0.473,24.22495,
0.096,0.00486368,0.122,0.03172824,0.122,0.02647973,0.096,3.419252,0.242,0,0.242,0.08800017,,,,,0.241,6.905427,0.485,24.22324,
0.099,0.01277521,0.125,0.02813295,0.125,0.01900979,0.099,3.419365,0.249,0,0.249,0.08800017,,,,,0.247,6.905524,0.498,24.22121,
0.102,0.02050322,0.128,0.04101036,0.128,0.0281698,0.102,3.419317,0.255,0,0.255,0.08800017,,,,,0.254,6.905441,0.511,24.2187,
0.104,0.01257796,0.132,0.03528894,0.132,0.00776908,0.104,3.419363,0.261,0,0.261,0.08800017,,,,,0.26,6.905419,0.524,24.21559,
0.107,0.01891981,0.135,0.0277621,0.135,0.02191937,0.107,3.419547,0.268,0,0.268,0.08800017,,,,,0.267,6.90545,0.537,24.2122,
0.109,0.01053687,0.138,0.04888791,0.138,0.02099521,0.109,3.419458,0.274,0,0.274,0.08800017,,,,,0.273,6.905509,0.55,24.20924,
0.112,0.01979716,0.141,0.05417661,0.141,0.03180787,0.112,3.419728,0.281,0,0.281,0.08800017,,,,,0.279,6.905552,0.563,24.20594,
0.114,0.03189543,0.144,0.06243781,0.144,0.02472796,0.114,3.419831,0.287,0,0.287,0.08800017,,,,,0.286,6.905584,0.575,24.20368,
0.117,0.02623499,0.148,0.05475602,0.148,0.0215288,0.117,3.419546,0.294,0,0.294,0.08800017,,,,,0.292,6.905565,0.588,24.20171,
0.12,0.0207535,0.151,0.05865943,0.151,0.03145791,0.12,3.419583,0.3,0,0.3,0.08800017,,,,,0.299,6.905639,0.601,24.20035,
0.122,0.03465274,0.154,0.05964917,0.154,0.02824024,0.122,3.419558,0.306,0,0.306,0.08800017,,,,,0.305,6.905742,0.614,24.19953,
0.125,0.03634866,0.157,0.06117008,0.157,0.02205068,0.125,3.419554,0.313,0,0.313,0.08800017,,,,,0.312,6.905836,0.627,24.19913,
0.127,0.03646754,0.16,0.05985129,0.16,0.03226446,0.127,3.419624,0.319,0,0.319,0.08800017,,,,,0.318,6.905855,0.64,24.19863,
0.13,0.02580144,0.164,0.07436895,0.164,0.03400185,0.13,3.419779,0.326,0,0.326,0.08800017,,,,,0.324,6.905926,0.653,24.19802,
0.132,0.02370695,0.167,0.04682526,0.167,0.02066504,0.132,3.420017,0.332,0,0.332,0.08800017,,,,,0.331,6.905957,0.665,24.19779,
0.135,0.02686701,0.17,0.0535043,0.17,0.02107205,0.135,3.419909,0.339,0,0.339,0.08800017,,,,,0.337,6.906026,0.678,24.19761,
0.138,0.01827025,0.173,0.06251185,0.173,0.01921465,0.138,3.419948,0.345,0,0.345,0.08800017,,,,,0.344,6.906139,0.691,24.19804,
0.14,0.03765381,0.177,0.0831408,0.177,0.01757387,0.14,3.419964,0.351,0,0.351,0.08800017,,,,,0.35,6.906106,0.704,24.19886,
0.143,0.0389719,0.18,0.07402027,0.18,0.01483956,0.143,3.420035,0.358,0,0.358,0.08800017,,,,,0.357,6.906207,0.717,24.19925,
0.145,0.04099208,0.183,0.06706843,0.183,0.01401591,0.145,3.420015,0.364,0,0.364,0.08800017,,,,,0.363,6.906271,0.73,24.19963,
0.148,0.03925129,0.186,0.0557951,0.186,0.0081809,0.148,3.420272,0.371,0,0.371,0.08800017,,,,,0.369,6.906316,0.743,24.19983,
0.15,0.04807106,0.189,0.07228657,0.189,0.01955594,0.15,3.420385,0.377,0,0.377,0.08800017,,,,,0.376,6.906279,0.755,24.20004,
0.153,0.03116528,0.193,0.06506209,0.193,0.02805893,0.153,3.420254,0.384,0,0.384,0.08800017,,,,,0.382,6.90633,0.768,24.20023,
0.156,0.0286028,0.196,0.06919691,0.196,0.01829204,0.156,3.420322,0.39,0,0.39,0.08800017,,,,,0.389,6.906366,0.781,24.20041,
0.158,0.03235214,0.199,0.0513605,0.199,0.02031021,0.158,3.420371,0.396,0,0.396,0.08800017,,,,,0.395,6.906387,0.794,24.20093,
