Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.001,0.02896358,0.001,0.01572773,0.001,0.01859915,0.001,3.409364,0.002,0,0.002,0.08800017,64.40071,"3.A.1",22.21124,"",0.001,6.886209,0.001,0.04057603,0.009,23.70162,
0.004,0.03290898,0.004,0.02213744,0.004,0.01880669,0.004,3.410497,0.008,0,0.008,0.08800017,64.60065,"3.A.2",,,0.008,6.886203,0.004,-0.02118451,0.022,23.70895,
0.007,0.05158489,0.007,0.01146012,0.007,0.008714904,0.007,3.411886,0.014,0,0.014,0.08800017,64.80073,"3.A.3",,,0.014,6.886045,0.007,-0.01575026,0.035,23.73998,
0.009,0.03645324,0.01,0.01080234,0.01,0.01640496,0.009,3.412291,0.021,0,0.021,0.08800017,65.00066,"3.A.4",,,0.02,6.886013,0.009,-0.01032552,0.048,23.77084,
0.012,0.03049749,0.014,0.04344622,0.014,0.02169551,0.012,3.412473,0.027,0,0.027,0.08800017,65.20079,"3.A.5",,,0.027,6.885864,0.012,-0.004840123,0.061,23.79797,
0.014,0.02046351,0.017,0.03189519,0.017,0.01531261,0.014,3.412546,0.034,0,0.034,0.08800017,65.4007,"3.B.1",,,0.033,6.885871,0.014,0.0008910947,0.074,23.82183,
0.017,0.02678466,0.02,0.04190337,0.02,0.0294924,0.017,3.412206,0.04,0,0.04,0.08800017,65.60078,"3.B.2",,,0.04,6.885867,0.017,0.006266631,0.086,23.84162,
0.019,0.03879403,0.023,0.03262687,0.023,0.02757845,0.019,3.412024,0.047,0,0.047,0.08800017,65.80071,"3.B.3",,,0.046,6.885791,0.019,0.01241294,0.099,23.85748,
0.022,0.04238295,0.026,0.03778117,0.026,0.02263426,0.022,3.411944,0.053,0,0.053,0.08800017,66.00041,"Waste(Frac)",,,0.053,6.885768,0.022,0.01827297,0.112,23.86907,
0.025,0.039506,0.03,0.0440353,0.03,0.03061982,0.025,3.411794,0.059,0,0.059,0.08800017,66.0007,"3.B.4",,,0.059,6.8857,0.025,0.02416301,0.125,23.87623,
0.027,0.04139002,0.033,0.04440274,0.033,0.04332719,0.027,3.41159,0.066,0,0.066,0.08800017,67.00082,"3.B.5",,,0.065,6.885618,0.027,0.03050383,0.138,23.88018,
0.03,0.05429749,0.036,0.0257766,0.036,0.04932131,0.03,3.411488,0.072,0,0.072,0.08800017,67.93037,"Waste(Frac)",,,0.072,6.885729,0.03,0.0361533,0.151,23.88086,
0.032,0.0485696,0.039,0.04275547,0.039,0.03689893,0.032,3.411396,0.079,0,0.079,0.08800017,78.06152,"3.C.1",,,0.078,6.885586,0.032,0.04207012,0.164,23.87892,
0.035,0.04518363,0.042,0.03983149,0.042,0.03553058,0.035,3.41131,0.085,0,0.085,0.08800017,79.06059,"Waste(Frac)",,,0.085,6.885575,0.035,0.04830034,0.176,23.87467,
0.037,0.05100766,0.046,0.04672017,0.046,0.03582999,0.037,3.410948,0.092,0,0.092,0.08800017,79.62435,"Waste",,,0.091,6.885605,0.037,0.05390434,0.189,23.86898,
0.04,0.05508025,0.049,0.03682374,0.049,0.0330898,0.04,3.410818,0.098,0,0.098,0.08800017,,,,,0.098,6.885661,0.04,0.05940654,0.202,23.86298,
0.043,0.04315206,0.052,0.04357916,0.052,0.03837731,0.043,3.410772,0.104,0,0.104,0.08800017,,,,,0.104,6.885622,0.043,0.0641384,0.215,23.85652,
0.045,0.03967379,0.055,0.03876903,0.055,0.03248567,0.045,3.410539,0.111,0,0.111,0.08800017,,,,,0.11,6.885567,0.045,0.06934004,0.228,23.85109,
0.048,0.04281496,0.059,0.03032022,0.059,0.04229451,0.048,3.410272,0.117,0,0.117,0.08800017,,,,,0.117,6.885663,0.048,0.07394622,0.241,23.84671,
0.05,0.03977224,0.062,0.02977769,0.062,0.03553208,0.05,3.410183,0.124,0,0.124,0.08800017,,,,,0.123,6.8857,0.05,0.07894716,0.254,23.84405,
0.053,0.03719509,0.065,0.04755282,0.065,0.03297205,0.053,3.410441,0.13,0,0.13,0.08800017,,,,,0.13,6.885649,0.053,0.08273887,0.266,23.84185,
0.055,0.04203814,0.068,0.03824911,0.068,0.02554061,0.055,3.410218,0.137,0,0.137,0.08800017,,,,,0.136,6.885649,0.055,0.08632106,0.279,23.84017,
0.058,0.03845349,0.071,0.03364235,0.071,0.03196596,0.058,3.410053,0.143,0,0.143,0.08800017,,,,,0.143,6.885701,0.058,0.08933824,0.292,23.83817,
0.061,0.04338248,0.075,0.04816358,0.075,0.03476186,0.061,3.40999,0.149,0,0.149,0.08800017,,,,,0.149,6.885724,0.061,0.09219936,0.305,23.83524,
0.063,0.04402174,0.078,0.03939327,0.078,0.03891225,0.063,3.409847,0.156,0,0.156,0.08800017,,,,,0.155,6.885741,0.063,0.09418697,0.318,23.8326,
0.066,0.04531583,0.081,0.03985559,0.081,0.05717005,0.066,3.409822,0.162,0,0.162,0.08800017,,,,,0.162,6.885863,0.066,0.09603252,0.331,23.82962,
0.068,0.04096272,0.084,0.04262158,0.084,0.0385183,0.068,3.409628,0.169,0,0.169,0.08800017,,,,,0.168,6.885851,0.068,0.09773608,0.344,23.82673,
0.071,0.04256076,0.087,0.02790591,0.087,0.03811186,0.071,3.40964,0.175,0,0.175,0.08800017,,,,,0.175,6.885849,0.071,0.0987884,0.356,23.82408,
0.073,0.05069545,0.091,0.04942486,0.091,0.03374955,0.073,3.409584,0.182,0,0.182,0.08800017,,,,,0.181,6.885754,0.073,0.1001478,0.369,23.82179,
0.076,0.04844403,0.094,0.05216574,0.094,0.04516822,0.076,3.409607,0.188,0,0.188,0.08800017,,,,,0.188,6.885824,0.076,0.1006926,0.382,23.8198,
0.079,0.04290734,0.097,0.05716279,0.097,0.03786392,0.079,3.409549,0.194,0,0.194,0.08800017,,,,,0.194,6.885785,0.079,0.1021357,0.395,23.81732,
0.081,0.04130899,0.1,0.05143033,0.1,0.03396427,0.081,3.409562,0.201,0,0.201,0.08800017,,,,,0.2,6.885733,0.081,0.1028948,0.408,23.81566,
0.084,0.06181282,0.104,0.04855238,0.104,0.04382431,0.084,3.409509,0.207,0,0.207,0.08800017,,,,,0.207,6.885859,0.084,0.1037342,0.421,23.81493,
0.086,0.06138032,0.107,0.04297048,0.107,0.04965425,0.086,3.409591,0.214,0,0.214,0.08800017,,,,,0.213,6.885947,0.086,0.1053089,0.434,23.81511,
0.089,0.05597821,0.11,0.061093,0.11,0.04268028,0.089,3.409472,0.22,0,0.22,0.08800017,,,,,0.22,6.885916,0.089,0.1056578,0.446,23.81493,
0.091,0.05454446,0.113,0.05627341,0.113,0.03764357,0.091,3.40959,0.227,0,0.227,0.08800017,,,,,0.226,6.885942,0.091,0.1066214,0.459,23.81431,
0.094,0.05898499,0.116,0.06181012,0.116,0.04893556,0.094,3.409561,0.233,0,0.233,0.08800017,,,,,0.233,6.885977,0.094,0.107511,0.472,23.81473,
0.097,0.06466459,0.12,0.05147781,0.12,0.04631002,0.097,3.409477,0.239,0,0.239,0.08800017,,,,,0.239,6.886076,0.097,0.1079686,0.485,23.81537,
0.099,0.05639539,0.123,0.05608493,0.123,0.04226736,0.099,3.409483,0.246,0,0.246,0.08800017,,,,,0.245,6.886078,0.099,0.1089676,0.498,23.81566,
0.102,0.05319107,0.126,0.05418586,0.126,0.04806051,0.102,3.409648,0.252,0,0.252,0.08800017,,,,,0.252,6.886178,0.102,0.1100359,0.511,23.81543,
0.104,0.05961601,0.129,0.04834783,0.129,0.04086355,0.104,3.409617,0.259,0,0.259,0.08800017,,,,,0.258,6.886137,0.104,0.1102585,0.524,23.81335,
0.107,0.05983285,0.132,0.04932458,0.132,0.05260583,0.107,3.40967,0.265,0,0.265,0.08800017,,,,,0.265,6.886207,0.107,0.1111966,0.537,23.81085,
0.109,0.0638789,0.136,0.05446298,0.136,0.05001217,0.109,3.409469,0.272,0,0.272,0.08800017,,,,,0.271,6.886296,0.109,0.1123803,0.549,23.80988,
0.112,0.05743164,0.139,0.04681469,0.139,0.04928065,0.112,3.409682,0.278,0,0.278,0.08800017,,,,,0.278,6.886326,0.112,0.1129718,0.562,23.80907,
0.115,0.04120724,0.142,0.05121611,0.142,0.04027802,0.115,3.409833,0.284,0,0.284,0.08800017,,,,,0.284,6.886318,0.115,0.1135394,0.575,23.80872,
0.117,0.0476789,0.145,0.04641818,0.145,0.03149723,0.117,3.409774,0.291,0,0.291,0.08800017,,,,,0.29,6.8864,0.117,0.1140708,0.588,23.80868,
0.12,0.05430203,0.149,0.05844853,0.149,0.04333186,0.12,3.40978,0.297,0,0.297,0.08800017,,,,,0.297,6.886432,0.12,0.1144237,0.601,23.80886,
0.122,0.048658,0.152,0.05456622,0.152,0.06386273,0.122,3.409785,0.304,0,0.304,0.08800017,,,,,0.303,6.886477,0.122,0.11546,0.614,23.80927,
0.125,0.05040072,0.155,0.05257226,0.155,0.06325894,0.125,3.409724,0.31,0,0.31,0.08800017,,,,,0.31,6.886489,0.125,0.1156893,0.627,23.80946,
0.127,0.05365897,0.158,0.04561359,0.158,0.06285248,0.127,3.409944,0.317,0,0.317,0.08800017,,,,,0.316,6.886516,0.127,0.1166148,0.639,23.80885,
0.13,0.05536411,0.161,0.05259454,0.161,0.0695039,0.13,3.40987,0.323,0,0.323,0.08800017,,,,,0.323,6.886609,0.13,0.1173662,0.652,23.80783,
0.133,0.05675512,0.165,0.04573449,0.165,0.05920954,0.133,3.409838,0.329,0,0.329,0.08800017,,,,,0.329,6.886603,0.133,0.1176773,0.665,23.80685,
0.135,0.05675075,0.168,0.0646193,0.168,0.05938132,0.135,3.410161,0.336,0,0.336,0.08800017,,,,,0.335,6.886695,0.135,0.1183055,0.678,23.80652,
0.138,0.05543464,0.171,0.08189176,0.171,0.0649431,0.138,3.410264,0.342,0,0.342,0.08800017,,,,,0.342,6.886762,0.138,0.1190146,0.691,23.80504,
0.14,0.05407215,0.174,0.07943881,0.174,0.06046962,0.14,3.410242,0.349,0,0.349,0.08800017,,,,,0.348,6.886787,0.14,0.1196745,0.704,23.80297,
0.143,0.05705564,0.177,0.07284952,0.177,0.06571287,0.143,3.410395,0.355,0,0.355,0.08800017,,,,,0.355,6.886801,0.143,0.1201873,0.717,23.8017,
0.145,0.06278312,0.181,0.07217343,0.181,0.05176315,0.145,3.410391,0.362,0,0.362,0.08800017,,,,,0.361,6.88687,0.145,0.1201503,0.729,23.80165,
0.148,0.06466258,0.184,0.07124592,0.184,0.06793719,0.148,3.410517,0.368,0,0.368,0.08800017,,,,,0.368,6.886851,0.148,0.1209841,0.742,23.80233,
0.151,0.07314846,0.187,0.05797841,0.187,0.06154365,0.151,3.410632,0.374,0,0.374,0.08800017,,,,,0.374,6.886938,0.151,0.1211897,0.755,23.80397,
0.153,0.07123818,0.19,0.07579252,0.19,0.06350288,0.153,3.410693,0.381,0,0.381,0.08800017,,,,,0.38,6.88694,0.153,0.1216062,0.768,23.80594,
0.156,0.06558296,0.194,0.06773169,0.194,0.0706239,0.156,3.41091,0.387,0,0.387,0.08800017,,,,,0.387,6.886961,0.156,0.1219246,0.781,23.80797,
0.158,0.06796238,0.197,0.0753938,0.197,0.07307275,0.158,3.410745,0.394,0,0.394,0.08800017,,,,,0.393,6.886992,0.158,0.1222476,0.794,23.80993,
0.161,0.06751423,0.2,0.06857859,0.2,0.08307735,0.161,3.410876,0.4,0,0.4,0.08800017,,,,,0.4,6.887032,0.161,0.1229408,0.807,23.81167,
0.163,0.07560519,0.203,0.06771908,0.203,0.07482938,0.163,3.410759,0.407,0,0.407,0.08800017,,,,,0.406,6.887071,0.163,0.1230149,0.819,23.81336,
0.166,0.07101826,0.206,0.06823549,0.206,0.0683862,0.166,3.410898,0.413,0,0.413,0.08800017,,,,,0.413,6.88712,0.166,0.1232707,0.832,23.81473,
0.169,0.07442628,0.21,0.0746935,0.21,0.06613336,0.169,3.410914,0.419,0,0.419,0.08800017,,,,,0.419,6.887107,0.169,0.1236901,0.845,23.81581,
0.171,0.07231493,0.213,0.0687492,0.213,0.07278691,0.171,3.410943,0.426,0,0.426,0.08800017,,,,,0.425,6.887136,0.171,0.1238239,0.858,23.81582,
0.174,0.07103942,0.216,0.06490956,0.216,0.07102446,0.174,3.411093,0.432,0,0.432,0.08800017,,,,,0.432,6.887118,0.174,0.1239457,0.871,23.81587,
0.176,0.07083403,0.219,0.08392575,0.219,0.0810774,0.176,3.411113,0.439,0,0.439,0.08800017,,,,,0.438,6.887122,0.176,0.1245761,0.884,23.81552,
0.179,0.07327597,0.222,0.07938585,0.222,0.07400475,0.179,3.410825,0.445,0,0.445,0.08800017,,,,,0.445,6.887122,0.179,0.1247346,0.897,23.81544,
0.181,0.08138657,0.226,0.08353021,0.226,0.0756133,0.181,3.41094,0.452,0,0.452,0.08800017,,,,,0.451,6.887254,0.181,0.1248363,0.909,23.81557,
0.184,0.08294236,0.229,0.07361872,0.229,0.09099734,0.184,3.411019,0.458,0,0.458,0.08800017,,,,,0.458,6.887269,0.184,0.1251965,0.922,23.81528,
0.187,0.08642054,0.232,0.06878594,0.232,0.06867163,0.187,3.411129,0.464,0,0.464,0.08800017,,,,,0.464,6.887285,0.187,0.1253855,0.935,23.81532,
0.189,0.0836829,0.235,0.06508671,0.235,0.06811824,0.189,3.41133,0.471,0,0.471,0.08800017,,,,,0.47,6.887351,0.189,0.1257091,0.948,23.8156,
0.192,0.08839493,0.239,0.07255304,0.239,0.06944456,0.192,3.411163,0.477,0,0.477,0.08800017,,,,,0.477,6.88735,0.192,0.1261979,0.961,23.81488,
0.194,0.09276553,0.242,0.08863105,0.242,0.06370076,0.194,3.411228,0.484,0,0.484,0.08800017,,,,,0.483,6.88734,0.194,0.1257765,0.974,23.81531,
0.197,0.08217885,0.245,0.08075216,0.245,0.08277845,0.197,3.411088,0.49,0,0.49,0.08800017,,,,,0.49,6.887361,0.197,0.1263808,0.987,23.81543,
0.199,0.07213505,0.248,0.07384803,0.248,0.07905474,0.199,3.411169,0.497,0,0.497,0.08800017,,,,,0.496,6.887371,0.199,0.1266112,0.999,23.81527,
