Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.002,0.009210981,0.001,-0.02150746,0.001,0.01947756,0.003,3.41746,0.002,0,0.002,0.08800017,64.40066,"3.A.1",22.21127,"",0.003,6.904565,0.002,-0.02288713,0.009,24.15124,
0.005,0.00884347,0.005,-0.01825231,0.005,0.01804357,0.005,3.419592,0.008,0,0.008,0.08800017,64.60062,"3.A.2",,,0.009,6.904505,0.005,-0.01753987,0.022,24.15825,
0.008,0.005726327,0.008,-0.02540155,0.008,0.006692297,0.008,3.420772,0.014,0,0.014,0.08800017,64.80061,"3.A.3",,,0.016,6.904491,0.008,-0.01195007,0.035,24.18998,
0.01,0.0005589416,0.011,-0.02846545,0.011,0.004664146,0.01,3.420976,0.021,0,0.021,0.08800017,65.00067,"3.A.4",,,0.022,6.904429,0.01,-0.00640861,0.048,24.22121,
0.013,-0.0003619612,0.014,-0.014683,0.014,0.01106026,0.013,3.42092,0.027,0,0.027,0.08800017,65.2006,"3.A.5",,,0.028,6.90434,0.013,-0.0004177452,0.061,24.24855,
0.015,0.001255582,0.018,-0.02711093,0.018,0.01324022,0.015,3.420747,0.034,0,0.034,0.08800017,65.40065,"3.B.1",,,0.035,6.904327,0.015,0.006411793,0.074,24.27139,
0.018,-0.0100881,0.021,-0.03644344,0.021,0.01697622,0.018,3.420509,0.04,0,0.04,0.08800017,65.60066,"3.B.2",,,0.041,6.904269,0.018,0.01224856,0.086,24.28828,
0.02,-0.005976683,0.024,-0.03253102,0.024,0.006397035,0.021,3.420063,0.047,0,0.047,0.08800017,65.80073,"3.B.3",,,0.048,6.904073,0.02,0.01906959,0.099,24.29952,
0.023,-0.004129149,0.027,-0.02489528,0.027,0.01296682,0.023,3.419927,0.053,0,0.053,0.08800017,66.00037,"Waste(Frac)",,,0.054,6.904175,0.023,0.02545923,0.112,24.30538,
0.026,0.006824325,0.03,-0.02703284,0.03,0.01587258,0.026,3.419681,0.059,0,0.059,0.08800017,66.00066,"3.B.4",,,0.061,6.904172,0.026,0.03139322,0.125,24.30651,
0.028,-0.00411818,0.034,-0.02541164,0.034,0.005572585,0.028,3.419398,0.066,0,0.066,0.08800017,67.00072,"3.B.5",,,0.067,6.904153,0.028,0.03777815,0.138,24.30448,
0.031,-0.0166803,0.037,-0.02047261,0.037,-0.001010522,0.031,3.419305,0.072,0,0.072,0.08800017,67.93032,"Waste(Frac)",,,0.073,6.904167,0.031,0.04376895,0.151,24.29957,
0.033,-0.01562116,0.04,-0.02519856,0.04,0.004873428,0.033,3.419096,0.079,0,0.079,0.08800017,68.62917,"Waste",,,0.08,6.904157,0.033,0.04999547,0.164,24.2925,
0.036,0.006796303,0.043,-0.02052755,0.043,0.006720403,0.036,3.418688,0.085,0,0.085,0.08800017,78.06141,"3.C.1",,,0.086,6.90415,0.036,0.0558106,0.177,24.28463,
0.038,-0.003025196,0.047,-0.009501363,0.047,-0.004296449,0.039,3.41855,0.092,0,0.092,0.08800017,79.06083,"Waste(Frac)",,,0.093,6.904223,0.038,0.06129077,0.189,24.27713,
0.041,-0.007684812,0.05,-0.01409576,0.05,0.00442204,0.041,3.418466,0.098,0,0.098,0.08800017,79.62476,"Waste",,,0.099,6.904086,0.041,0.06737176,0.202,24.26994,
0.044,0.004263783,0.053,-0.01720697,0.053,0.01939196,0.044,3.418344,0.104,0,0.104,0.08800017,,,,,0.106,6.904214,0.044,0.07236091,0.215,24.26273,
0.046,0.009607456,0.056,-0.01595776,0.056,0.01535927,0.046,3.41818,0.111,0,0.111,0.08800017,,,,,0.112,6.904217,0.046,0.07676429,0.228,24.256,
0.049,-0.005315239,0.059,-0.02588802,0.059,0.009810262,0.049,3.418018,0.117,0,0.117,0.08800017,,,,,0.118,6.904259,0.049,0.08184749,0.241,24.24952,
0.051,-0.002224792,0.063,-0.006626933,0.063,0.007415844,0.051,3.41784,0.124,0,0.124,0.08800017,,,,,0.125,6.904303,0.051,0.08681953,0.254,24.24378,
0.054,0.008648449,0.066,-0.02326875,0.066,0.01124706,0.054,3.41788,0.13,0,0.13,0.08800017,,,,,0.131,6.904275,0.054,0.09030333,0.267,24.23888,
0.056,0.004407511,0.069,-0.01831636,0.069,0.008318884,0.057,3.417811,0.137,0,0.137,0.08800017,,,,,0.138,6.904299,0.056,0.09441672,0.279,24.23457,
0.059,0.009419126,0.072,-0.02571586,0.072,0.0105935,0.059,3.417815,0.143,0,0.143,0.08800017,,,,,0.144,6.904301,0.059,0.09779919,0.292,24.23104,
0.062,0.003922774,0.075,-0.02946927,0.075,0.002571769,0.062,3.417729,0.15,0,0.15,0.08800017,,,,,0.151,6.904387,0.062,0.1009522,0.305,24.22786,
0.064,-0.008677524,0.079,-0.02120635,0.079,0.009406853,0.064,3.417704,0.156,0,0.156,0.08800017,,,,,0.157,6.904426,0.064,0.1036344,0.318,24.22481,
0.067,-0.00653002,0.082,-0.01837442,0.082,0.01474896,0.067,3.417702,0.162,0,0.162,0.08800017,,,,,0.163,6.904357,0.067,0.1056659,0.331,24.22156,
0.069,-0.002554853,0.085,-0.02837298,0.085,0.007795063,0.069,3.417741,0.169,0,0.169,0.08800017,,,,,0.17,6.904476,0.069,0.1075002,0.344,24.21862,
0.072,0.008783023,0.088,-0.03333959,0.088,0.02089249,0.072,3.417552,0.175,0,0.175,0.08800017,,,,,0.176,6.904392,0.072,0.10876,0.357,24.21664,
0.074,0.003364454,0.092,-0.02062953,0.092,0.009581652,0.075,3.417437,0.182,0,0.182,0.08800017,,,,,0.183,6.904468,0.074,0.1100745,0.369,24.21555,
0.077,0.0001117069,0.095,-0.03260544,0.095,0.002884499,0.077,3.41761,0.188,0,0.188,0.08800017,,,,,0.189,6.904568,0.077,0.1112431,0.382,24.21394,
0.08,-0.01303058,0.098,-0.04841297,0.098,0.0004235444,0.08,3.417637,0.195,0,0.195,0.08800017,,,,,0.196,6.904461,0.08,0.1128203,0.395,24.21222,
0.082,-0.00697855,0.101,-0.03603605,0.101,0.01174838,0.082,3.417677,0.201,0,0.201,0.08800017,,,,,0.202,6.904532,0.082,0.1141991,0.408,24.20993,
0.085,-0.001211131,0.104,-0.03025446,0.104,0.01833249,0.085,3.417525,0.207,0,0.207,0.08800017,,,,,0.208,6.904625,0.085,0.1150228,0.421,24.20741,
0.087,0.001254815,0.108,-0.02528798,0.108,0.002659908,0.087,3.417686,0.214,0,0.214,0.08800017,,,,,0.215,6.904575,0.087,0.1164468,0.434,24.2046,
0.09,0.0008849477,0.111,-0.03882788,0.111,0.0133171,0.09,3.417696,0.22,0,0.22,0.08800017,,,,,0.221,6.904559,0.09,0.1178108,0.447,24.20241,
0.092,0.01413274,0.114,-0.02694582,0.114,0.01698302,0.093,3.417763,0.227,0,0.227,0.08800017,,,,,0.228,6.904569,0.092,0.1188119,0.459,24.20017,
0.095,1.007025E-05,0.117,-0.02826497,0.117,0.006017685,0.095,3.41762,0.233,0,0.233,0.08800017,,,,,0.234,6.904581,0.095,0.1193886,0.472,24.19867,
0.098,-0.002263714,0.12,-0.03154868,0.12,0.009691509,0.098,3.417807,0.24,0,0.24,0.08800017,,,,,0.241,6.904612,0.098,0.1202368,0.485,24.19752,
0.1,-0.000955952,0.124,-0.01588745,0.124,0.007555945,0.1,3.417749,0.246,0,0.246,0.08800017,,,,,0.247,6.904617,0.1,0.1210024,0.498,24.19663,
0.103,-0.005535652,0.127,-0.03410903,0.127,-5.275607E-05,0.103,3.417802,0.252,0,0.252,0.08800017,,,,,0.253,6.904623,0.103,0.1222533,0.511,24.19585,
0.105,-0.0007525306,0.13,-0.02806643,0.13,0.007636448,0.105,3.417975,0.259,0,0.259,0.08800017,,,,,0.26,6.904652,0.105,0.1230882,0.524,24.1951,
0.108,0.01065475,0.133,-0.02262767,0.133,0.0167526,0.108,3.417906,0.265,0,0.265,0.08800017,,,,,0.266,6.904564,0.108,0.1235542,0.537,24.19413,
0.11,-0.004582305,0.137,-0.02624313,0.137,0.0203706,0.111,3.417918,0.272,0,0.272,0.08800017,,,,,0.273,6.90468,0.11,0.1244075,0.549,24.19405,
0.113,-0.008316744,0.14,-0.04491617,0.14,0.01341115,0.113,3.41802,0.278,0,0.278,0.08800017,,,,,0.279,6.904668,0.113,0.1256518,0.562,24.19326,
0.116,-0.002038871,0.143,-0.01998545,0.143,0.002987063,0.116,3.417857,0.285,0,0.285,0.08800017,,,,,0.286,6.904681,0.116,0.1261573,0.575,24.19269,
0.118,-0.003414161,0.146,-0.02803607,0.146,0.001398913,0.118,3.417835,0.291,0,0.291,0.08800017,,,,,0.292,6.904666,0.118,0.1269656,0.588,24.19228,
0.121,0.001502342,0.149,-0.02478122,0.149,0.008407205,0.121,3.417728,0.297,0,0.297,0.08800017,,,,,0.298,6.904624,0.121,0.1275339,0.601,24.19134,
0.123,0.005395063,0.153,-0.03534135,0.153,0.008934543,0.123,3.418012,0.304,0,0.304,0.08800017,,,,,0.305,6.904684,0.123,0.128031,0.614,24.19058,
0.126,0.003433222,0.156,-0.02979578,0.156,0.01623753,0.126,3.417967,0.31,0,0.31,0.08800017,,,,,0.311,6.904713,0.126,0.1282258,0.627,24.19252,
0.128,-0.00176234,0.159,-0.03209733,0.159,0.009065738,0.129,3.418034,0.317,0,0.317,0.08800017,,,,,0.318,6.90472,0.128,0.1290175,0.639,24.194,
0.131,0.005829231,0.162,-0.04097742,0.162,0.01604043,0.131,3.418082,0.323,0,0.323,0.08800017,,,,,0.324,6.90477,0.131,0.129744,0.652,24.1958,
0.134,0.009283745,0.165,-0.04326262,0.165,-0.003846657,0.134,3.41799,0.33,0,0.33,0.08800017,,,,,0.331,6.904708,0.134,0.1302234,0.665,24.19807,
0.136,0.005393835,0.169,-0.03767815,0.169,0.01396842,0.136,3.418011,0.336,0,0.336,0.08800017,,,,,0.337,6.904731,0.136,0.1305701,0.678,24.19852,
0.139,-0.00380291,0.172,-0.03213602,0.172,0.003745666,0.139,3.418173,0.342,0,0.342,0.08800017,,,,,0.343,6.904765,0.139,0.1307864,0.691,24.19774,
0.141,-0.0003272392,0.175,-0.03806588,0.175,0.009899008,0.141,3.418137,0.349,0,0.349,0.08800017,,,,,0.35,6.904678,0.141,0.1313553,0.704,24.1972,
0.144,0.004088802,0.178,-0.05385543,0.178,0.01100595,0.144,3.418087,0.355,0,0.355,0.08800017,,,,,0.356,6.904748,0.144,0.1315439,0.717,24.19762,
0.146,0.002756144,0.182,-0.04600271,0.182,0.01940616,0.147,3.418061,0.362,0,0.362,0.08800017,,,,,0.363,6.904791,0.146,0.131662,0.729,24.19803,
0.149,0.01260409,0.185,-0.04322698,0.185,0.0174786,0.149,3.418216,0.368,0,0.368,0.08800017,,,,,0.369,6.904775,0.149,0.1321987,0.742,24.19721,
0.152,-0.0008534974,0.188,-0.04259155,0.188,0.02132296,0.152,3.418351,0.375,0,0.375,0.08800017,,,,,0.376,6.904805,0.152,0.132675,0.755,24.19867,
0.154,-0.004586111,0.191,-0.03592473,0.191,0.01197227,0.154,3.418443,0.381,0,0.381,0.08800017,,,,,0.382,6.904812,0.154,0.1328989,0.768,24.19901,
0.157,-0.007192922,0.194,-0.04646126,0.194,0.01691586,0.157,3.418364,0.387,0,0.387,0.08800017,,,,,0.388,6.904799,0.157,0.1330447,0.781,24.19657,
0.159,0.0001567153,0.198,-0.04350884,0.198,0.005141299,0.159,3.418258,0.394,0,0.394,0.08800017,,,,,0.395,6.904817,0.159,0.1335938,0.794,24.19524,
0.162,0.003347382,0.201,-0.0601207,0.201,0.01179352,0.162,3.418332,0.4,0,0.4,0.08800017,,,,,0.401,6.904869,0.162,0.1335444,0.807,24.19549,
0.164,-0.0005867481,0.204,-0.06189853,0.204,0.01387761,0.165,3.418263,0.407,0,0.407,0.08800017,,,,,0.408,6.904785,0.164,0.1338027,0.819,24.19729,
0.167,-0.001702538,0.207,-0.04471726,0.207,0.01968861,0.167,3.418565,0.413,0,0.413,0.08800017,,,,,0.414,6.904784,0.167,0.1339326,0.832,24.19984,
0.17,0.0001813663,0.21,-0.04408435,0.21,0.03350148,0.17,3.418568,0.42,0,0.42,0.08800017,,,,,0.421,6.904844,0.17,0.1344133,0.845,24.20292,
0.172,-0.01205446,0.214,-0.05316094,0.214,0.02271031,0.172,3.418632,0.426,0,0.426,0.08800017,,,,,0.427,6.904817,0.172,0.1345855,0.858,24.20592,
0.175,-0.00255229,0.217,-0.05187271,0.217,0.005960253,0.175,3.418487,0.432,0,0.432,0.08800017,,,,,0.433,6.904873,0.175,0.1349225,0.871,24.20837,
0.177,0.01346495,0.22,-0.03783752,0.22,0.02691763,0.177,3.418472,0.439,0,0.439,0.08800017,,,,,0.44,6.904845,0.177,0.1350252,0.884,24.20892,
0.18,0.004194207,0.223,-0.04306252,0.223,0.01583474,0.18,3.418391,0.445,0,0.445,0.08800017,,,,,0.446,6.904831,0.18,0.1351558,0.897,24.20937,
0.182,0.002145161,0.227,-0.04639139,0.227,0.02056975,0.183,3.418588,0.452,0,0.452,0.08800017,,,,,0.453,6.904915,0.182,0.1356648,0.909,24.21006,
0.185,0.005711723,0.23,-0.05454842,0.23,0.019498,0.185,3.418552,0.458,0,0.458,0.08800017,,,,,0.459,6.904969,0.185,0.1355383,0.922,24.2113,
0.188,0.003380497,0.233,-0.04560475,0.233,0.02856803,0.188,3.418595,0.465,0,0.465,0.08800017,,,,,0.466,6.904897,0.188,0.1358382,0.935,24.21209,
0.19,0.005207254,0.236,-0.05395411,0.236,0.01421175,0.19,3.418606,0.471,0,0.471,0.08800017,,,,,0.472,6.904902,0.19,0.1363086,0.948,24.21217,
0.193,0.001295524,0.239,-0.06187902,0.239,0.01811173,0.193,3.418664,0.477,0,0.477,0.08800017,,,,,0.478,6.904901,0.193,0.1360644,0.961,24.21136,
0.195,0.001866327,0.243,-0.05071435,0.243,0.0175693,0.195,3.418665,0.484,0,0.484,0.08800017,,,,,0.485,6.904902,0.195,0.1359857,0.974,24.21071,
