Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.002,0.007089996,0.003,-0.002985866,0.003,0.00473782,0.002,3.421524,0.006,0,0.006,0.08800017,64.40077,"3.A.1",22.21127,"",0,6.910589,0.002,0.01499861,0.003,24.11422,
0.004,0.001561386,0.006,-0.006528226,0.006,0.01142758,0.005,3.423228,0.012,0,0.012,0.08800017,64.60081,"3.A.2",,,0.007,6.910647,0.004,-0.01864783,0.016,24.11438,
0.007,0.0015876,0.009,-0.01511847,0.009,0.001835273,0.007,3.42402,0.018,0,0.018,0.08800017,64.80074,"3.A.3",,,0.013,6.910623,0.007,-0.01302629,0.028,24.13204,
0.01,0.00868181,0.013,-0.01004734,0.013,0.0002582635,0.01,3.424077,0.025,0,0.025,0.08800017,65.00079,"3.A.4",,,0.019,6.91052,0.01,-0.007707439,0.041,24.16133,
0.012,-0.0007650786,0.016,-0.01922317,0.016,0.004642637,0.012,3.424198,0.031,0,0.031,0.08800017,65.2008,"3.A.5",,,0.026,6.910509,0.012,-0.001422097,0.054,24.18744,
0.015,-0.0006902951,0.019,-0.0200777,0.019,-0.002285478,0.015,3.424106,0.038,0,0.038,0.08800017,65.40072,"3.B.1",,,0.032,6.91048,0.015,0.004047516,0.067,24.20901,
0.017,-0.01087879,0.022,-0.02069414,0.022,0.002595535,0.017,3.423797,0.044,0,0.044,0.08800017,65.60081,"3.B.2",,,0.039,6.910315,0.017,0.01022419,0.08,24.22573,
0.02,-0.003709545,0.025,-0.02631577,0.025,-0.009754226,0.02,3.423657,0.051,0,0.051,0.08800017,65.80083,"3.B.3",,,0.045,6.910326,0.02,0.01653763,0.093,24.23713,
0.022,0.005172985,0.029,-0.005409999,0.029,0.01712579,0.023,3.423565,0.057,0,0.057,0.08800017,66.00041,"Waste(Frac)",,,0.052,6.910391,0.022,0.02218275,0.106,24.2437,
0.025,0.01145511,0.032,-0.003765335,0.032,0.01324425,0.025,3.423265,0.063,0,0.063,0.08800017,66.00085,"3.B.4",,,0.058,6.910307,0.025,0.02839582,0.118,24.24615,
0.028,0.01758405,0.035,-0.01126228,0.035,0.01055483,0.028,3.423064,0.07,0,0.07,0.08800017,67.00085,"3.B.5",,,0.064,6.910233,0.028,0.03451687,0.131,24.24445,
0.03,0.01067562,0.038,-0.0008487664,0.038,0.01093004,0.03,3.422772,0.076,0,0.076,0.08800017,67.93037,"Waste(Frac)",,,0.071,6.910275,0.03,0.04100559,0.144,24.23981,
0.033,0.005599901,0.042,-0.01963218,0.042,0.006635169,0.033,3.422652,0.083,0,0.083,0.08800017,78.06182,"3.C.1",,,0.077,6.910306,0.033,0.04704813,0.157,24.23322,
0.035,0.008964018,0.045,-0.01927776,0.045,0.007777563,0.035,3.422536,0.089,0,0.089,0.08800017,79.06069,"Waste(Frac)",,,0.084,6.910267,0.035,0.05245749,0.17,24.22532,
0.038,0.009481581,0.048,-0.01807158,0.048,0.003317519,0.038,3.4223,0.096,0,0.096,0.08800017,79.62439,"Waste",,,0.09,6.910257,0.038,0.05828172,0.183,24.2168,
0.04,-0.0001702763,0.051,-0.0246953,0.051,0.006780328,0.041,3.422324,0.102,0,0.102,0.08800017,,,,,0.097,6.910284,0.04,0.06327877,0.196,24.20821,
0.043,0.00769057,0.054,-0.005095126,0.054,0.0005721009,0.043,3.422046,0.108,0,0.108,0.08800017,,,,,0.103,6.910248,0.043,0.06856447,0.208,24.19973,
0.046,0.0101947,0.058,-0.009002245,0.058,0.01440671,0.046,3.421892,0.115,0,0.115,0.08800017,,,,,0.109,6.910315,0.046,0.074099,0.221,24.19171,
0.048,0.01399912,0.061,-0.0152578,0.061,0.002645736,0.048,3.421872,0.121,0,0.121,0.08800017,,,,,0.116,6.910358,0.048,0.07787317,0.234,24.18466,
0.051,0.01515625,0.064,-0.0148061,0.064,0.00444072,0.051,3.422088,0.128,0,0.128,0.08800017,,,,,0.122,6.910319,0.051,0.08259116,0.247,24.17754,
0.053,0.01840907,0.067,-0.002433675,0.067,0.0006421484,0.053,3.421992,0.134,0,0.134,0.08800017,,,,,0.129,6.910379,0.053,0.08617888,0.26,24.17102,
0.056,0.01231439,0.07,-0.01032362,0.07,-0.001975602,0.056,3.421915,0.141,0,0.141,0.08800017,,,,,0.135,6.910397,0.056,0.08980917,0.273,24.16505,
0.058,0.00703082,0.074,-5.120677E-05,0.074,0.008528785,0.058,3.421723,0.147,0,0.147,0.08800017,,,,,0.142,6.91039,0.058,0.09254836,0.286,24.16003,
0.061,0.0110159,0.077,0.004808736,0.077,-0.003083903,0.061,3.421646,0.153,0,0.153,0.08800017,,,,,0.148,6.910505,0.061,0.09487946,0.298,24.15567,
0.064,0.001786872,0.08,-0.01937829,0.08,-0.0001470021,0.064,3.421668,0.16,0,0.16,0.08800017,,,,,0.154,6.910407,0.064,0.09700318,0.311,24.15068,
0.066,0.01106542,0.083,-0.02310534,0.083,0.007727571,0.066,3.421803,0.166,0,0.166,0.08800017,,,,,0.161,6.910442,0.066,0.09843584,0.324,24.14602,
0.069,0.009517518,0.087,-0.010842,0.087,-0.004067357,0.069,3.421842,0.173,0,0.173,0.08800017,,,,,0.167,6.910539,0.069,0.1002532,0.337,24.14198,
0.071,0.01260244,0.09,-0.02883756,0.09,0.008407867,0.071,3.421885,0.179,0,0.179,0.08800017,,,,,0.174,6.91048,0.071,0.1010481,0.35,24.13875,
0.074,0.0193808,0.093,-0.01007643,0.093,0.0141102,0.074,3.421945,0.186,0,0.186,0.08800017,,,,,0.18,6.910344,0.074,0.1020572,0.363,24.13525,
0.076,0.01061541,0.096,-0.00330313,0.096,0.009555615,0.076,3.421838,0.192,0,0.192,0.08800017,,,,,0.187,6.910497,0.076,0.1031153,0.376,24.13145,
0.079,0.01142892,0.099,-0.003467665,0.099,0.008003308,0.079,3.421843,0.198,0,0.198,0.08800017,,,,,0.193,6.910507,0.079,0.1037058,0.388,24.12879,
0.082,0.004380926,0.103,-0.02526414,0.103,0.0115895,0.082,3.421857,0.205,0,0.205,0.08800017,,,,,0.199,6.910546,0.082,0.1050578,0.401,24.12712,
0.084,0.008875892,0.106,-0.01520469,0.106,0.00457082,0.084,3.421745,0.211,0,0.211,0.08800017,,,,,0.206,6.910476,0.084,0.1055347,0.414,24.12578,
0.087,0.01293752,0.109,-0.03311102,0.109,0.02200125,0.087,3.421789,0.218,0,0.218,0.08800017,,,,,0.212,6.910594,0.087,0.1060091,0.427,24.12387,
0.089,0.009608325,0.112,-0.02234636,0.112,0.00767268,0.089,3.421746,0.224,0,0.224,0.08800017,,,,,0.219,6.910481,0.089,0.1074285,0.44,24.12235,
0.092,0.01246208,0.115,-0.003659939,0.115,0.01038941,0.092,3.421753,0.231,0,0.231,0.08800017,,,,,0.225,6.910556,0.092,0.1077429,0.453,24.1197,
0.094,0.01326286,0.119,-0.01470993,0.119,0.01563094,0.094,3.421751,0.237,0,0.237,0.08800017,,,,,0.232,6.910584,0.094,0.1082359,0.465,24.11665,
0.097,0.02445423,0.122,-0.009052042,0.122,0.02128276,0.097,3.421797,0.243,0,0.243,0.08800017,,,,,0.238,6.910554,0.097,0.1094861,0.478,24.1137,
0.1,0.02055935,0.125,-0.01655572,0.125,0.001025926,0.1,3.421996,0.25,0,0.25,0.08800017,,,,,0.244,6.910525,0.1,0.1093743,0.491,24.11174,
0.102,0.005314303,0.128,-0.01735435,0.128,0.02352984,0.102,3.421984,0.256,0,0.256,0.08800017,,,,,0.251,6.910563,0.102,0.1105343,0.504,24.10919,
0.105,0.01087701,0.131,-0.0296623,0.131,0.006341846,0.105,3.422035,0.263,0,0.263,0.08800017,,,,,0.257,6.91054,0.105,0.1110031,0.517,24.1068,
0.107,0.009722196,0.135,-0.02691335,0.135,0.003260524,0.107,3.422107,0.269,0,0.269,0.08800017,,,,,0.264,6.910511,0.107,0.111964,0.53,24.10402,
0.11,0.003651583,0.138,-0.002036704,0.138,0.003599883,0.11,3.421947,0.275,0,0.275,0.08800017,,,,,0.27,6.910608,0.11,0.1125767,0.543,24.10035,
0.112,0.003974577,0.141,-0.001481445,0.141,0.009362031,0.112,3.422218,0.282,0,0.282,0.08800017,,,,,0.277,6.910566,0.112,0.1128167,0.555,24.09807,
0.115,0.004147321,0.144,-0.006536751,0.144,0.01778786,0.115,3.421975,0.288,0,0.288,0.08800017,,,,,0.283,6.910557,0.115,0.1135881,0.568,24.09647,
0.118,0.009235688,0.148,-0.02328542,0.148,0.02759182,0.118,3.422047,0.295,0,0.295,0.08800017,,,,,0.289,6.91067,0.118,0.1133631,0.581,24.0955,
0.12,0.02572326,0.151,-0.002975264,0.151,0.01756729,0.12,3.422122,0.301,0,0.301,0.08800017,,,,,0.296,6.910678,0.12,0.1141807,0.594,24.09487,
0.123,0.02618498,0.154,-0.003543708,0.154,0.01141314,0.123,3.422228,0.308,0,0.308,0.08800017,,,,,0.302,6.910648,0.123,0.1147246,0.607,24.09407,
0.125,0.03124445,0.157,-0.01373578,0.157,0.0080993,0.125,3.422138,0.314,0,0.314,0.08800017,,,,,0.309,6.910562,0.125,0.1146472,0.62,24.09417,
0.128,0.02122452,0.16,-0.00668803,0.16,0.02103265,0.128,3.422292,0.32,0,0.32,0.08800017,,,,,0.315,6.910646,0.128,0.1152179,0.633,24.0934,
0.13,0.01905306,0.164,-0.0001770528,0.164,0.01181689,0.13,3.422246,0.327,0,0.327,0.08800017,,,,,0.322,6.910654,0.13,0.11574,0.645,24.09167,
0.133,0.005871252,0.167,-0.008078333,0.167,0.01543289,0.133,3.422214,0.333,0,0.333,0.08800017,,,,,0.328,6.910664,0.133,0.1158532,0.658,24.08996,
0.136,0.01189851,0.17,-0.01030341,0.17,0.01718799,0.136,3.422238,0.34,0,0.34,0.08800017,,,,,0.334,6.910698,0.136,0.115921,0.671,24.08821,
0.138,0.008392095,0.173,-0.002555765,0.173,0.02266611,0.138,3.422245,0.346,0,0.346,0.08800017,,,,,0.341,6.910676,0.138,0.1163519,0.684,24.08621,
0.141,0.01956373,0.176,-0.008486629,0.176,0.01723165,0.141,3.422228,0.353,0,0.353,0.08800017,,,,,0.347,6.910697,0.141,0.1167217,0.697,24.08438,
0.143,0.01861646,0.18,-0.01197948,0.18,0.01821847,0.143,3.422368,0.359,0,0.359,0.08800017,,,,,0.354,6.910688,0.143,0.1170152,0.71,24.08301,
0.146,0.01444324,0.183,0.0002540567,0.183,0.01788483,0.146,3.422409,0.365,0,0.365,0.08800017,,,,,0.36,6.910663,0.146,0.1175168,0.723,24.08187,
0.148,0.01885256,0.186,-0.004767217,0.186,0.02247017,0.148,3.422487,0.372,0,0.372,0.08800017,,,,,0.367,6.91065,0.148,0.1172521,0.735,24.08064,
0.151,0.0155078,0.189,-0.01624447,0.189,0.005967919,0.151,3.422407,0.378,0,0.378,0.08800017,,,,,0.373,6.910673,0.151,0.1176194,0.748,24.08012,
0.154,0.01514584,0.193,-0.01124328,0.193,0.006233553,0.154,3.422528,0.385,0,0.385,0.08800017,,,,,0.379,6.910722,0.154,0.1178302,0.761,24.07936,
0.156,0.0189993,0.196,-0.0197457,0.196,0.004263157,0.156,3.422521,0.391,0,0.391,0.08800017,,,,,0.386,6.910713,0.156,0.11797,0.774,24.07883,
0.159,0.02566262,0.199,-0.0142528,0.199,0.0150089,0.159,3.42246,0.398,0,0.398,0.08800017,,,,,0.392,6.910701,0.159,0.1181652,0.787,24.07757,
0.161,0.01419122,0.202,-0.009239776,0.202,0.01066697,0.161,3.422388,0.404,0,0.404,0.08800017,,,,,0.399,6.91074,0.161,0.118858,0.8,24.07662,
0.164,0.02411011,0.205,-0.01406073,0.205,0.008214767,0.164,3.422406,0.41,0,0.41,0.08800017,,,,,0.405,6.910676,0.164,0.1186801,0.813,24.07657,
0.166,0.0231944,0.209,-0.01927891,0.209,0.00760367,0.166,3.422343,0.417,0,0.417,0.08800017,,,,,0.412,6.910653,0.166,0.1184807,0.825,24.07597,
0.169,0.02137524,0.212,-0.01875426,0.212,0.01744522,0.169,3.422481,0.423,0,0.423,0.08800017,,,,,0.418,6.910733,0.169,0.118865,0.838,24.0761,
0.172,0.01897853,0.215,-0.005368052,0.215,0.01372263,0.172,3.422546,0.43,0,0.43,0.08800017,,,,,0.424,6.910645,0.172,0.1186557,0.851,24.07665,
0.174,0.00390001,0.218,-0.009069966,0.218,0.01286415,0.174,3.422523,0.436,0,0.436,0.08800017,,,,,0.431,6.910613,0.174,0.1189763,0.864,24.07635,
0.177,0.02174061,0.221,-0.005439023,0.221,0.01836217,0.177,3.422629,0.443,0,0.443,0.08800017,,,,,0.437,6.910698,0.177,0.1189988,0.877,24.07542,
0.179,0.02608749,0.225,0.002034058,0.225,0.02231187,0.179,3.422745,0.449,0,0.449,0.08800017,,,,,0.444,6.910626,0.179,0.1192169,0.89,24.0751,
0.182,0.02740197,0.228,-0.008280635,0.228,0.01683131,0.182,3.422658,0.455,0,0.455,0.08800017,,,,,0.45,6.91063,0.182,0.1194485,0.903,24.07523,
0.184,0.02134826,0.231,0.001951938,0.231,0.01461496,0.184,3.422686,0.462,0,0.462,0.08800017,,,,,0.457,6.910699,0.184,0.1197259,0.915,24.0753,
0.187,0.02075135,0.234,-0.001245969,0.234,0.01417211,0.187,3.422701,0.468,0,0.468,0.08800017,,,,,0.463,6.910647,0.187,0.1197573,0.928,24.07568,
0.19,0.0204806,0.238,-0.01176143,0.238,0.009762026,0.19,3.422599,0.475,0,0.475,0.08800017,,,,,0.469,6.910771,0.19,0.119646,0.941,24.07617,
0.192,0.02024807,0.241,0.008008469,0.241,0.02142958,0.192,3.422704,0.481,0,0.481,0.08800017,,,,,0.476,6.910714,0.192,0.1196003,0.954,24.07574,
0.195,0.01872675,0.244,-0.01311666,0.244,0.03168997,0.195,3.422717,0.488,0,0.488,0.08800017,,,,,0.482,6.910734,0.195,0.1195151,0.967,24.07539,
0.197,0.01233121,0.247,-0.01868575,0.247,0.02451008,0.197,3.422551,0.494,0,0.494,0.08800017,,,,,0.489,6.910726,0.197,0.1204092,0.98,24.07489,
