Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.001,-0.03014572,0,-0.02659441,0.001,3.321507,0,0,0,0.08800017,45.50064,"3.A.1",3.311225,"",0,6.833918,
0.003,-0.02880052,0.003,-0.02686912,0.003,3.322382,0.005,0,0.005,0.08800017,45.70065,"3.A.2",,,0.005,6.833934,
0.005,-0.01622009,0.005,-0.02154779,0.005,3.322839,0.01,0,0.01,0.08800017,45.90057,"3.A.3",,,0.011,6.83397,
0.007,-0.01849583,0.008,-0.01283582,0.007,3.322886,0.016,0,0.016,0.08800017,46.10065,"3.A.4",,,0.016,6.833974,
0.009,-0.02286133,0.01,-0.00449961,0.009,3.322939,0.021,0,0.021,0.08800017,46.30056,"3.A.5",,,0.021,6.833909,
0.011,-0.02168755,0.013,-0.02461662,0.011,3.322747,0.026,0,0.026,0.08800017,46.50069,"3.B.1",,,0.026,6.83386,
0.013,-0.02182021,0.016,-0.02569912,0.013,3.322744,0.031,0,0.031,0.08800017,46.70062,"3.B.2",,,0.031,6.833865,
0.015,-0.01218655,0.018,-0.003120871,0.015,3.322817,0.036,0,0.036,0.08800017,46.9007,"3.B.3",,,0.036,6.833847,
0.018,-0.01568765,0.021,-0.009748503,0.018,3.322734,0.041,0,0.041,0.08800017,47.10041,"Waste(Frac)",,,0.041,6.833872,
0.02,-0.01663143,0.023,-0.009490428,0.02,3.322827,0.046,0,0.046,0.08800017,47.10072,"3.B.4",,,0.046,6.83385,
0.022,-0.01846831,0.026,-0.001804471,0.022,3.322709,0.051,0,0.051,0.08800017,48.10082,"3.B.5",,,0.051,6.833783,
0.024,-0.01392081,0.028,-0.01083966,0.024,3.32243,0.057,0,0.057,0.08800017,49.03038,"Waste(Frac)",,,0.057,6.833749,
0.026,-0.008859009,0.031,-0.01012077,0.026,3.322432,0.062,0,0.062,0.08800017,49.72923,"Waste",,,0.062,6.833873,
0.028,-0.009851354,0.033,-0.003980599,0.028,3.322432,0.067,0,0.067,0.08800017,59.16126,"3.C.1",,,0.067,6.833755,
0.03,-0.01766719,0.036,-0.002398361,0.03,3.322189,0.072,0,0.072,0.08800017,60.16061,"Waste(Frac)",,,0.072,6.833776,
0.032,-0.01388785,0.039,-0.008140739,0.032,3.322276,0.077,0,0.077,0.08800017,,,,,0.077,6.833828,
0.034,-0.01592406,0.041,-0.01801481,0.034,3.322055,0.082,0,0.082,0.08800017,,,,,0.082,6.833873,
0.036,-0.008693841,0.044,-0.01917063,0.036,3.322191,0.087,0,0.087,0.08800017,,,,,0.087,6.833977,
0.038,-0.01931629,0.046,-0.02270863,0.038,3.322189,0.092,0,0.092,0.08800017,,,,,0.092,6.834016,
0.04,-0.0287513,0.049,-0.0209027,0.04,3.321961,0.097,0,0.097,0.08800017,,,,,0.098,6.833993,
0.042,-0.02724389,0.051,-0.01456672,0.042,3.321993,0.103,0,0.103,0.08800017,,,,,0.103,6.834129,
0.044,-0.02792598,0.054,-0.03918041,0.044,3.321909,0.108,0,0.108,0.08800017,,,,,0.108,6.834107,
0.046,-0.02097648,0.057,-0.0273087,0.046,3.321889,0.113,0,0.113,0.08800017,,,,,0.113,6.834259,
0.048,-0.01552163,0.059,-0.01688622,0.048,3.321957,0.118,0,0.118,0.08800017,,,,,0.118,6.834267,
0.05,-0.01064715,0.062,-0.01086629,0.05,3.32178,0.123,0,0.123,0.08800017,,,,,0.123,6.834286,
0.052,-0.006071728,0.064,-0.008982309,0.052,3.321853,0.128,0,0.128,0.08800017,,,,,0.128,6.834338,
0.054,-0.00801796,0.067,-0.03564843,0.054,3.321798,0.133,0,0.133,0.08800017,,,,,0.133,6.834331,
0.056,-0.0203472,0.069,-0.01597474,0.056,3.321759,0.138,0,0.138,0.08800017,,,,,0.138,6.834424,
0.058,-0.01881888,0.072,-0.01300774,0.058,3.321729,0.144,0,0.144,0.08800017,,,,,0.144,6.834324,
0.061,-0.0137436,0.074,-0.01834321,0.061,3.321573,0.149,0,0.149,0.08800017,,,,,0.149,6.834347,
0.063,-0.01300168,0.077,-0.01981404,0.063,3.321531,0.154,0,0.154,0.08800017,,,,,0.154,6.834383,
0.065,-0.01504625,0.08,-0.02587818,0.065,3.321483,0.159,0,0.159,0.08800017,,,,,0.159,6.834439,
0.067,-0.01341744,0.082,-0.01140609,0.067,3.321514,0.164,0,0.164,0.08800017,,,,,0.164,6.834295,
0.069,-0.01094133,0.085,-0.009116516,0.069,3.321528,0.169,0,0.169,0.08800017,,,,,0.169,6.83442,
0.071,-0.01325503,0.087,-0.01832157,0.071,3.321459,0.174,0,0.174,0.08800017,,,,,0.174,6.83446,
0.073,-0.01595034,0.09,-0.01965261,0.073,3.321409,0.179,0,0.179,0.08800017,,,,,0.179,6.834497,
0.075,-0.01747656,0.092,-0.01950674,0.075,3.321414,0.184,0,0.184,0.08800017,,,,,0.185,6.834484,
0.077,-0.01222128,0.095,-0.02763304,0.077,3.321506,0.19,0,0.19,0.08800017,,,,,0.19,6.834482,
0.079,-0.004143287,0.097,-0.0260448,0.079,3.321447,0.195,0,0.195,0.08800017,,,,,0.195,6.834514,
