Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.001,0.009772292,0.001,0.02017901,0.001,-0.004405973,0.001,3.30304,0.001,0.08800017,3.731629,"1.A.1",3.731174,"",0,6.828905,
0.002,0.01170677,0.002,0.02094127,0.002,-0.00641548,0.002,3.303827,0.003,0.07311516,4.031637,"1.A.2",,,0.003,6.829021,
0.002,0.008312313,0.003,0.02026496,0.003,-0.001191665,0.002,3.304375,0.005,0.08800017,4.331606,"1.A.3",,,0.005,6.829094,
0.003,0.006063026,0.004,0.01101623,0.004,-0.003238884,0.003,3.30485,0.007,0.08800017,4.631631,"1.A.4",,,0.007,6.829165,
0.004,0.005572392,0.005,0.01135846,0.005,-0.007557854,0.004,3.305066,0.009,0.08800017,4.93159,"1.A.5",,,0.009,6.829071,
0.005,0.006420614,0.006,0.00562713,0.006,-0.01441542,0.005,3.30528,0.011,0.08800017,5.231677,"1.A.6",,,0.011,6.829071,
0.006,0.009966969,0.007,0.005326752,0.007,-0.01529242,0.006,3.305367,0.014,0.08800017,5.531579,"1.A.7",,,0.013,6.829033,
0.007,0.01340938,0.008,0.01252801,0.008,-0.01179986,0.007,3.305358,0.016,0.08800017,5.831688,"1.A.8",,,0.016,6.829086,
0.008,0.01003707,0.009,0.02116457,0.009,-0.01065242,0.008,3.305354,0.018,0.08800017,6.131717,"1.A.9",,,0.018,6.828999,
0.008,0.009550575,0.01,0.02658186,0.01,-0.009829325,0.008,3.305298,0.02,0.08800017,6.43167,"1.A.10",,,0.02,6.828994,
0.009,0.01087345,0.012,0.02102617,0.012,-0.00791047,0.009,3.305201,0.022,0.08800017,6.731622,"1.A.11",,,0.022,6.829077,
0.01,0.0113974,0.013,0.01321878,0.013,-0.005066222,0.01,3.305139,0.024,0.08800017,7.031661,"1.A.12",,,0.024,6.82905,
0.011,0.01593185,0.014,0.01164591,0.014,-0.002546191,0.011,3.305098,0.027,0.08800017,7.331629,"1.B.1",,,0.026,6.82904,
0.012,0.01827907,0.015,0.01934275,0.015,0.001392121,0.012,3.304932,0.029,0.08800017,7.631651,"1.B.2",,,0.029,6.829031,
0.013,0.02092161,0.016,0.02343125,0.016,0.001197047,0.013,3.30476,0.031,0.08800017,7.931752,"1.B.3",,,0.031,6.829034,
0.014,0.02019303,0.017,0.01623659,0.017,-0.0008719093,0.014,3.304733,0.033,0.08800017,8.231707,"1.B.4",,,0.033,6.828988,
0.014,0.02206855,0.018,0.007562584,0.018,-0.009288101,0.015,3.304595,0.035,0.08800017,8.531748,"1.B.5",,,0.035,6.829006,
0.015,0.02649354,0.019,0.01031403,0.019,-0.01320723,0.015,3.30453,0.037,0.08800017,8.831714,"1.B.6",,,0.037,6.828973,
0.016,0.02680518,0.02,0.02299207,0.02,-0.008052153,0.016,3.304445,0.04,0.08800017,9.131739,"1.B.7",,,0.039,6.828984,
