Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,PostC pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,MPa,
0,-0.03169193,0.003,-0.05516995,0.003,-0.009604987,0,13.20029,0.004,0,0.004,0.3930008,0.004,0.4359017,0.004,0.4603339,5.897962,"1.A.1",5.895844,"",0.003,7.48396,0,-0.0172946,0.004,-0.02430562,
0.001,-0.0321433,0.006,-0.05549695,0.006,-0.01012712,0.001,13.20103,0.011,0,0.011,0.001769187,0.011,0.1976195,0.011,0.2078682,6.098136,"1.A.2",,,0.01,7.484077,0.001,-0.01537464,0.011,-0.02533231,
0.001,-0.0325969,0.01,-0.04625906,0.01,-0.01022984,0.003,13.20244,0.018,0,0.018,0.3881265,0.017,-0.0008122192,0.017,0.0228397,6.297913,"1.A.3",,,0.016,7.484207,0.001,-0.01326359,0.017,-0.02417564,
0.002,-0.03260472,0.013,-0.03645141,0.013,-0.004865507,0.004,13.21011,0.024,0,0.024,0.3930008,0.024,-0.007514314,0.024,0.01024798,6.497715,"1.A.4",,,0.023,7.484061,0.002,-0.0105505,0.024,-0.01755748,
0.003,-0.02515457,0.016,-0.02040664,0.016,0.002899728,0.005,13.21161,0.031,0,0.031,0.3930008,0.03,-0.00459587,0.03,0.01285406,6.698082,"1.A.5",,,0.029,7.483972,0.003,-0.008802938,0.03,-0.01717465,
0.003,-0.01645191,0.02,0.0002020659,0.02,0.007059957,0.007,13.2127,0.037,0,0.037,0.3930008,0.037,-0.0007667025,0.037,0.01648449,6.897866,"1.A.6",,,0.036,7.483917,0.003,-0.006505252,0.037,-0.01695129,
0.004,-0.0139981,0.023,0.01287967,0.023,0.006438994,0.008,13.2135,0.044,0,0.044,0.3930008,0.044,0.003449978,0.043,0.02092863,7.098325,"1.A.7",,,0.043,7.48384,0.004,-0.003738518,0.043,-0.01714228,
0.005,-0.01192535,0.026,0.01552886,0.026,0.01062509,0.009,13.21416,0.05,0,0.05,0.3930008,0.05,0.008222396,0.05,0.02568466,7.298125,"1.A.8",,,0.049,7.483793,0.005,-0.00146716,0.05,-0.01708653,
0.005,-0.01031675,0.029,0.02480378,0.029,0.01273716,0.011,13.21468,0.057,0,0.057,0.3930008,0.057,0.01349199,0.056,0.03113032,7.497823,"1.A.9",,,0.056,7.483817,0.005,0.0009178401,0.056,-0.01725174,
0.006,-0.008707305,0.033,0.0341222,0.033,0.009489578,0.012,13.21517,0.063,0,0.063,0.3930008,0.063,0.01899944,0.063,0.03689815,7.698271,"1.A.10",,,0.062,7.483846,0.006,0.00314702,0.063,-0.0174377,
0.007,-0.007121151,0.036,0.02934723,0.036,0.007736942,0.013,13.21559,0.07,0,0.07,0.3930008,0.07,0.0255069,0.069,0.04326875,7.89807,"1.A.11",,,0.069,7.483848,0.007,0.005554637,0.069,-0.01727021,
0.007,-0.005787674,0.039,0.01629129,0.039,0.009783148,0.015,13.21591,0.076,0,0.076,0.3930008,0.076,0.03241921,0.076,0.05011156,8.098524,"1.A.12",,,0.075,7.483812,0.007,0.008053744,0.076,-0.01715435,
0.008,-0.004742661,0.042,0.003204688,0.042,0.009691297,0.016,13.21611,0.083,0,0.083,0.3930008,0.083,0.0399604,0.083,0.05776275,8.298225,"1.B.1",,,0.082,7.483806,0.008,0.01016665,0.083,-0.0172417,
0.009,-0.003725014,0.046,-0.02162179,0.046,0.00558364,0.017,13.21622,0.089,0,0.089,0.3930008,0.089,0.04787058,0.089,0.06569007,8.498671,"1.B.2",,,0.088,7.483748,0.009,0.01283842,0.089,-0.01719669,
0.009,-0.002418872,0.049,-0.04344974,0.049,0.005358491,0.018,13.21636,0.096,0,0.096,0.3930008,0.096,0.05672093,0.096,0.074524,8.698472,"1.B.3",,,0.095,7.483714,0.009,0.01591359,0.096,-0.01709532,
0.01,-0.0005080369,0.052,-0.05485873,0.052,0.004611363,0.02,13.2166,0.103,0,0.103,0.3930008,0.102,0.06671925,0.102,0.08464193,8.898175,"1.B.4",,,0.101,7.483665,0.01,0.01831499,0.102,-0.0171603,
0.011,0.001544398,0.055,-0.06386571,0.055,0.002569693,0.021,13.21675,0.109,0,0.109,0.3930008,0.109,0.07752517,0.109,0.09541223,9.098625,"1.B.5",,,0.108,7.483722,0.011,0.02090896,0.109,-0.01702764,
0.011,0.003592923,0.059,-0.06938149,0.059,0.001165082,0.022,13.21679,0.116,0,0.116,0.3930008,0.115,0.08955258,0.115,0.1075652,9.298412,"1.B.6",,,0.115,7.483827,0.011,0.02364789,0.115,-0.01703172,
0.012,0.005666079,0.062,-0.06931165,0.062,0.003000828,0.024,13.21686,0.122,0,0.122,0.3930008,0.122,0.1031745,0.122,0.1213927,9.498867,"1.B.7",,,0.121,7.483762,0.012,0.02609252,0.122,-0.01709043,
