Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
0,0.001839316,0.003,0.005369125,0.003,-0.003121952,0,19.03242,0.002,0,0.002,0.2000004,0.001,0.01174026,0.007,0.01188237,10.2656,"1.A.1",10.26456,"",0.003,7.186521,0,0.01641344,
0.002,-0.001892843,0.007,-0.006787695,0.007,0.0008787212,0.002,19.0321,0.01,0,0.01,0.2000004,0.009,0.01189554,0.015,0.009238687,10.56561,"1.A.2",,,0.011,7.186522,0.002,0.002126709,
0.003,0.00169242,0.011,0.001185927,0.011,0.00477009,0.003,19.03451,0.018,0,0.018,0.2000004,0.017,-0.0007090064,0.023,0.009426842,10.86565,"1.A.3",,,0.019,7.186458,0.003,0.004115363,
0.005,0.0001415664,0.015,0.03536458,0.015,0.007968969,0.005,19.03707,0.026,0,0.026,0.2000004,0.024,0.0004096171,0.031,0.00956114,11.16559,"1.A.4",,,0.027,7.186433,0.005,0.007058306,
0.007,0.00332735,0.019,0.06025979,0.019,0.006943249,0.007,19.03935,0.034,0,0.034,0.2000004,0.032,0.001783163,0.039,0.009856284,11.4656,"1.A.5",,,0.035,7.186382,0.007,0.008977904,
0.008,0.009164885,0.023,0.052358,0.023,0.003491395,0.008,19.04086,0.042,0,0.042,0.2000004,0.04,0.003167323,0.047,0.01047172,11.76554,"1.A.6",,,0.043,7.186409,0.008,0.01163239,
0.01,0.01189527,0.027,0.04558061,0.027,0.001585092,0.01,19.04164,0.05,0,0.05,0.2000004,0.048,0.006129021,0.055,0.01093444,12.06558,"1.A.7",,,0.051,7.186308,0.01,0.01424198,
0.011,0.0138257,0.031,0.03383685,0.031,0.01507833,0.011,19.04221,0.057,0,0.057,0.2000004,0.056,0.0103576,0.063,0.01168467,12.36563,"1.A.8",,,0.059,7.186794,0.011,0.01726389,
0.013,0.01472582,0.035,0.003864556,0.035,0.01337373,0.013,19.04238,0.065,0,0.065,0.2000004,0.064,0.01656313,0.071,0.01225404,12.66556,"1.A.9",,,0.066,7.186844,0.013,0.02068267,
0.014,0.0157413,0.039,0.009154718,0.039,0.007393491,0.014,19.04207,0.073,0,0.073,0.2000004,0.072,0.02154588,0.079,0.01247539,12.96559,"1.A.10",,,0.074,7.187218,0.014,0.02363404,
0.016,0.01635233,0.043,0.04550461,0.043,0.01284766,0.016,19.04162,0.081,0,0.081,0.2000004,0.08,0.02282434,0.086,0.01206189,13.26553,"1.A.11",,,0.082,7.187078,0.016,0.02733297,
0.018,0.01695257,0.047,0.05153401,0.047,0.01598352,0.018,19.0411,0.089,0,0.089,0.2000004,0.088,0.02194577,0.094,0.01249875,13.56557,"1.A.12",,,0.09,7.187389,0.018,0.03062687,
0.019,0.01737645,0.051,0.05293877,0.051,0.01540151,0.019,19.04042,0.097,0,0.097,0.2000004,0.096,0.0216186,0.102,0.01237166,13.86562,"1.B.1",,,0.098,7.187519,0.019,0.03393098,
0.021,0.01706039,0.055,0.05872547,0.055,0.005908798,0.021,19.03971,0.105,0,0.105,0.2000004,0.104,0.02127337,0.11,0.01228654,14.16556,"1.B.2",,,0.106,7.187942,0.021,0.03768453,
0.022,0.01273271,0.059,0.05542281,0.059,-0.00615461,0.022,19.03875,0.113,0,0.113,0.2000004,0.112,0.0208427,0.118,0.01228245,14.46558,"1.B.3",,,0.114,7.188118,0.022,0.04166109,
