Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
0.013,-0.01695901,0.012,-0.02598755,0.012,-0.004594835,0.029,18.79179,0.035,0,0.035,14.92645,0.033,0.3714271,0.031,0.2389853,17.60604,"1.A.1",17.56577,"",0.022,7.200591,0.013,0.02899129,
0.028,-0.03284625,0.087,-0.04093841,0.087,-0.004535808,0.059,18.9026,0.185,0,0.185,3.518748,0.183,0.3661208,0.181,0.2362845,18.19213,"1.A.2",,,0.173,7.200646,0.028,0.06472158,
0.043,-0.0414049,0.162,-0.08809572,0.162,-0.07311156,0.09,18.98674,0.336,0,0.336,8.064724,0.333,0.02673696,0.331,0.03000009,18.80432,"1.A.3",,,0.323,7.200741,0.043,0.1214172,
0.058,-0.0948882,0.237,-0.09815347,0.237,-0.09182472,0.12,18.9892,0.486,0,0.486,16.00003,0.484,0.03030755,0.482,0.03334916,19.38992,"1.A.4",,,0.473,7.200783,0.058,0.1066046,
0.073,-0.10229,0.312,-0.1022779,0.312,-0.1058622,0.15,18.99079,0.636,0,0.636,16.00003,0.634,0.07912981,0.632,0.0548052,20.00185,"1.A.5",,,0.624,7.200781,0.073,0.164978,
0.088,-0.1062338,0.387,-0.09962176,0.387,-0.1106575,0.18,18.99368,0.787,0,0.787,16.00003,0.785,0.2217463,0.783,0.1258149,20.61411,"1.A.6",,,0.774,7.200714,0.088,0.2093578,
0.103,-0.1091138,0.463,-0.09504458,0.463,-0.1127778,0.21,18.99582,0.937,0,0.937,16.00003,0.935,0.4315665,0.933,0.2136852,21.19973,"1.A.7",,,0.924,7.201004,0.103,0.2473279,
0.118,-0.1116044,0.538,-0.09070799,0.538,-0.1079754,0.24,18.99433,1.088,0,1.088,16.00003,1.086,0.4941628,1.083,0.2313756,21.81163,"1.A.8",,,1.075,7.201506,0.118,0.2881088,
0.133,-0.1138237,0.613,-0.08179272,0.613,-0.09882484,0.27,18.99018,1.238,0,1.238,16.00003,1.236,0.5223212,1.234,0.2462432,22.3972,"1.A.9",,,1.225,7.20161,0.133,0.3345523,
0.148,-0.115918,0.688,-0.05808794,0.688,-0.07562951,0.3,18.98219,1.389,0,1.389,16.00003,1.386,0.5343685,1.384,0.2567056,23.00955,"1.A.10",,,1.375,7.201805,0.148,0.3872052,
0.163,-0.1179811,0.763,-0.02683027,0.763,-0.05047169,0.33,18.97657,1.539,0,1.539,16.00003,1.537,0.5455834,1.535,0.2658539,23.62146,"1.A.11",,,1.526,7.203651,0.163,0.4413062,
0.178,-0.1200668,0.838,0.01315429,0.838,-0.02304725,0.36,18.97227,1.689,0,1.689,16.00003,1.687,0.554602,1.685,0.2733139,24.20704,"1.A.12",,,1.676,7.206249,0.178,0.4905425,
0.193,-0.1221519,0.913,0.04782729,0.913,0.000686554,0.39,18.97372,1.84,0,1.84,16.00003,1.838,0.5631716,1.835,0.2793125,24.82515,"1.B.1",,,1.826,7.210464,0.193,0.5365472,
0.208,-0.1242358,0.988,0.08015606,0.988,0.02279153,0.42,18.97587,1.99,0,1.99,16.00003,1.988,0.5713009,1.986,0.284587,25.41053,"1.B.2",,,1.977,7.206944,0.208,0.573224,
0.223,-0.1263161,1.064,0.1007318,1.064,0.0599892,0.45,18.97632,2.141,0,2.141,16.00003,2.138,0.5808164,2.136,0.289356,26.02266,"1.B.3",,,2.127,7.196991,0.223,0.6047561,
