resin,frac,bradford_rsd_percent,bradford_rsd,swath_rsd,total_rsd
cq,a5,5.010700227,0.05010700227,0.02165960623507797,0.054588004348431834
cq,b12,8.286758454,0.08286758454,0.0129620621144151,0.08387521458543043
cq,d9,0.414491071,0.00414491071,0.025368334125442628,0.02570472059941461
cq,g12,5.227957631,0.05227957631,0.008642943482088642,0.052989192965997245
cq,eluate,9.842092978,0.09842092978,0.027667509477877276,0.10223585721002255
xq,a5,1.985229624,0.01985229624,0.06840904957145445,0.07123139567122373
xq,b12,1.796264102,0.01796264102,0.03303473174774154,0.03760252616591908
xq,d9,0.8788142331,0.008788142331,0.045795077853954494,0.04663068304539048
xq,g12,1.24367941,0.0124367941,0.014908508516177586,0.019414877637078592
xq,eluate,0.7607148173,0.007607148173,0.010116050888654582,0.012657139839151118
hq,a5,0.700728867,0.00700728867,0.10061911843873284,0.10086282313068803
hq,b12,1.321680844,0.01321680844,0.04206624581466003,0.04409368506123136
hq,d9,3.606276458,0.03606276458,0.30115901365296216,0.3033105248644985
hq,g12,2.896351237,0.02896351237,0.019493403609856932,0.034912430925157965
hq,eluate,1.309842769,0.01309842769,0.008915027243404282,0.015844447566917545
