name,desc_lower,acronym,desc_lower_2
14-3-3 protein epsilon,14-3-3 protein epsilon,False,14 3 3 protein epsilon
40S ribosomal protein S15a,40s ribosomal protein s15a,False,40s ribosomal protein s15a
40S ribosomal protein S17,40s ribosomal protein s17,False,40s ribosomal protein s17
40S ribosomal protein S20,40s ribosomal protein s20,False,40s ribosomal protein s20
40S ribosomal protein S21,40s ribosomal protein s21,False,40s ribosomal protein s21
40S ribosomal protein SA,40s ribosomal protein sa,False,40s ribosomal protein sa
60S acidic ribosomal protein P0   ,60s acidic ribosomal protein p0,False,60s acidic ribosomal protein p0
60S acidic ribosomal protein P2,60s acidic ribosomal protein p2,False,60s acidic ribosomal protein p2
60S ribosomal protein L12,60s ribosomal protein l12,False,60s ribosomal protein l12
60S ribosomal protein L23a,60s ribosomal protein l23a,False,60s ribosomal protein l23a
78 kDa glucose-regulated protein ,78 kda glucose-regulated protein,False,78 kda glucose regulated protein
Acid trehalase-like protein 1,acid trehalase-like protein 1,False,acid trehalase like protein 1
"Actin, alpha cardiac muscle 1","actin, alpha cardiac muscle 1",False,actin alpha cardiac muscle 1
"actin, cytoplasmic 1","actin, cytoplasmic 1",False,actin cytoplasmic 1
Alpha-enolase,alpha-enolase,False,alpha enolase
Annexin A2,annexin a2,False,annexin a2
Aspartyl aminopeptidase,aspartyl aminopeptidase,False,aspartyl aminopeptidase
Biglycan,biglycan,False,biglycan
Cathepsin B,cathepsin b,False,cathepsin b
Clusterin,clusterin,False,clusterin
Cofilin-1,cofilin-1,False,cofilin 1
Cullin-associated NEDD8-dissociated protein 1,cullin-associated nedd8-dissociated protein 1,False,cullin associated nedd8 dissociated protein 1
Elongation factor 2,elongation factor 2,False,elongation factor 2
Eukaryotic translation initiation factor 2 subunit 1,eukaryotic translation initiation factor 2 subunit 1,False,eukaryotic translation initiation factor 2 subunit 1
Galectin-3,galectin-3,False,galectin 3
Glutathione S-transferase P 1,glutathione s-transferase p 1,False,glutathione s transferase p 1
Glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase,False,glyceraldehyde 3 phosphate dehydrogenase
GTP-binding nuclear protein Ran,gtp-binding nuclear protein ran,False,gtp binding nuclear protein ran
Guanine nucleotide-binding protein beta-2-like 1,guanine nucleotide-binding protein beta-2-like 1,False,guanine nucleotide binding protein beta 2 like 1
Heat shock cognate 71 kDa protein,heat shock cognate 71 kda protein,False,heat shock cognate 71 kda protein
Histidine-tRNA ligase,histidine-trna ligase,False,histidine trna ligase
"Histidyl-tRNA synthetase, cytoplasmic  ","histidyl-trna synthetase, cytoplasmic",False,histidyl trna synthetase cytoplasmic
Histone H2A type 1 ,histone h2a type 1,False,histone h2a type 1
Histone H2A type 4 ,histone h2a type 4,False,histone h2a type 4
Histone H2B type 1-N,histone h2b type 1-n,False,histone h2b type 1 n
Lactadherin,lactadherin,False,lactadherin
L-lactate dehydrogenase A chain,l-lactate dehydrogenase a chain,False,l lactate dehydrogenase a chain
Phosphotyrosine protein phosphatase,phosphotyrosine protein phosphatase,False,phosphotyrosine protein phosphatase
Matrix metalloproteinase-19 ,matrix metalloproteinase-19,False,matrix metalloproteinase 19
Metalloproteinase inhibitor 1,metalloproteinase inhibitor 1,False,metalloproteinase inhibitor 1
Nidogen-1,nidogen-1,False,nidogen 1
Nucleoside diphosphate kinase A ,nucleoside diphosphate kinase a,False,nucleoside diphosphate kinase a
Nucleoside diphosphate kinase B ,nucleoside diphosphate kinase b,False,nucleoside diphosphate kinase b
Out at first protein-like,out at first protein-like,False,out at first protein like
Peptidyl-prolyl cis-trans isomerase A,peptidyl-prolyl cis-trans isomerase a,False,peptidyl prolyl cis trans isomerase a
Peroxiredoxin-1,peroxiredoxin-1,False,peroxiredoxin 1
Phosphoglycerate mutase 1,phosphoglycerate mutase 1,False,phosphoglycerate mutase 1
Plectin-1,plectin-1,False,plectin 1
Proteasome subunit alpha type-7,proteasome subunit alpha type-7,False,proteasome subunit alpha type 7
Protein disulfide-isomerase A6,protein disulfide-isomerase a6,False,protein disulfide isomerase a6
Protein S100-A6,protein s100-a6,False,protein s100 a6
Putative phospholipase B-like 2,putative phospholipase b-like 2,False,putative phospholipase b like 2
Pyruvate kinase isozymes M1/M2,pyruvate kinase isozymes m1/m2,False,pyruvate kinase isozymes m1/m2
Septin-2,septin-2,False,septin 2
Serine protease HTRA1,serine protease htra1,False,serine protease htra1
Serpin H1,serpin h1,False,serpin h1
Sulfated glycoprotein 1,sulfated glycoprotein 1,False,sulfated glycoprotein 1
T-complex protein 1 subunit alpha,t-complex protein 1 subunit alpha,False,t complex protein 1 subunit alpha
T-complex protein 1 subunit beta,t-complex protein 1 subunit beta,False,t complex protein 1 subunit beta
T-complex protein 1 subunit delta,t-complex protein 1 subunit delta,False,t complex protein 1 subunit delta
T-complex protein 1 subunit eta,t-complex protein 1 subunit eta,False,t complex protein 1 subunit eta
T-complex protein 1 subunit gamma,t-complex protein 1 subunit gamma,False,t complex protein 1 subunit gamma
T-complex protein 1 subunit theta,t-complex protein 1 subunit theta,False,t complex protein 1 subunit theta
T-complex protein 1 subunit zeta,t-complex protein 1 subunit zeta,False,t complex protein 1 subunit zeta
Triosephosphate isomerase,triosephosphate isomerase,False,triosephosphate isomerase
Vimentin,vimentin,False,vimentin
V-type proton ATPase subunit C 1,v-type proton atpase subunit c 1,False,v type proton atpase subunit c 1
