name,desc_lower,acronym,desc_lower_2
Neural cell adhesion molecule,neural cell adhesion molecule,False,neural cell adhesion molecule
Renin receptor,renin receptor,False,renin receptor
Lipoprotein lipase,lipoprotein lipase,False,lipoprotein lipase
Chondroitin sulfate protoglycan 4,chondroitin sulfate protoglycan 4,False,chondroitin sulfate protoglycan 4
Alpha-enolase,alpha-enolase,False,alpha enolase
Galectin-3-binding protein,galectin-3-binding protein,False,galectin 3 binding protein
G-protein coupled receptor 56,g-protein coupled receptor 56,False,g protein coupled receptor 56
V-type proton ATPase subunit S1,v-type proton atpase subunit s1,False,v type proton atpase subunit s1
Nidogen-1,nidogen-1,False,nidogen 1
"ATP synthase subunit beta, mitochondrial","atp synthase subunit beta, mitochondrial",False,atp synthase subunit beta mitochondrial
Vimentin,vimentin,False,vimentin
Heat shock protein,heat shock protein,False,heat shock protein
Actin,actin,False,actin
Peroxirodoxin 1,peroxirodoxin 1,False,peroxirodoxin 1
SPARC,sparc,False,sparc
Clusterin,clusterin,False,clusterin
Complement C1r-a sub-component,complement c1r-a sub-component,False,complement c1r a sub component
Metalloproteinase inhibitor 1,metalloproteinase inhibitor 1,False,metalloproteinase inhibitor 1
Insulin,insulin,False,insulin
Cathepsin D,cathepsin d,False,cathepsin d
Sulfated glycoprotein 1,sulfated glycoprotein 1,False,sulfated glycoprotein 1
Lysosomal protective protein,lysosomal protective protein,False,lysosomal protective protein
