name,table,notes,desc_lower,acronym,desc_lower_2
Chondroitin sulfate protoglycan 4,2,associated with mAb,chondroitin sulfate protoglycan 4,False,chondroitin sulfate protoglycan 4
Nidogen-1,2,associated with mAb,nidogen-1,False,nidogen 1
Actin,2,associated with mAb,actin,False,actin
SPARC,2,associated with mAb,sparc,False,sparc
Cathepsin D,2,associated with mAb,cathepsin d,False,cathepsin d
Sulfated glycoprotein 1,2,associated with mAb,sulfated glycoprotein 1,False,sulfated glycoprotein 1
Glucose regulated protein,2,associated with mAb,glucose regulated protein,False,glucose regulated protein
Dickkopf-related protein 3,2,associated with mAb,dickkopf-related protein 3,False,dickkopf related protein 3
Alpha-N-acetylgalactosaminidase,3,cex coelution,alpha-n-acetylgalactosaminidase,False,alpha n acetylgalactosaminidase
Cathepsin B,3,cex coelution,cathepsin b,False,cathepsin b
Chondroitin sulfate proteoglycan 4,3,cex coelution,chondroitin sulfate proteoglycan 4,False,chondroitin sulfate proteoglycan 4
Clusterin,3,cex coelution,clusterin,False,clusterin
Di-N-acetylchitobiase,3,cex coelution,di-n-acetylchitobiase,False,di n acetylchitobiase
Dickkopf-related protein 3,3,cex coelution,dickkopf-related protein 3,False,dickkopf related protein 3
dnaK-type molecular chaperone GRP78 precursor,3,cex coelution,dnak-type molecular chaperone grp78 precursor,False,dnak type molecular chaperone grp78 precursor
Glypican-1,3,cex coelution,glypican-1,False,glypican 1
Legumain,3,cex coelution,legumain,False,legumain
Leukemia inhibitory factor,3,cex coelution,leukemia inhibitory factor,False,leukemia inhibitory factor
Lipoprotein lipase,3,cex coelution,lipoprotein lipase,False,lipoprotein lipase
Metalloproteinase inhibitor 1,3,cex coelution,metalloproteinase inhibitor 1,False,metalloproteinase inhibitor 1
Nidogen-1,3,cex coelution,nidogen-1,False,nidogen 1
Nucleobindin-2,3,cex coelution,nucleobindin-2,False,nucleobindin 2
SPARC,3,cex coelution,sparc,False,sparc
Basement membrane-specific heparan sulfate proteoglycan core protein,5,hic coelution,basement membrane-specific heparan sulfate proteoglycan core protein,False,basement membrane specific heparan sulfate proteoglycan core protein
Dickkopf-related protein 3,5,hic coelution,dickkopf-related protein 3,False,dickkopf related protein 3
Lactadherin,5,hic coelution,lactadherin,False,lactadherin
Laminin subunit gamma-1,5,hic coelution,laminin subunit gamma-1,False,laminin subunit gamma 1
Lipoprotein lipase,5,hic coelution,lipoprotein lipase,False,lipoprotein lipase
Nidogen-1,5,hic coelution,nidogen-1,False,nidogen 1
SPARC,5,hic coelution,sparc,False,sparc
Tubulointerstitial nephritis antigen-like,5,hic coelution,tubulointerstitial nephritis antigen-like,False,tubulointerstitial nephritis antigen like
3-phosphoinositide-dependent protein kinase 1,6,mmc coelution,3-phosphoinositide-dependent protein kinase 1,False,3 phosphoinositide dependent protein kinase 1
Alpha-galactosidase A,6,mmc coelution,alpha-galactosidase a,False,alpha galactosidase a
Amyloid-like protein 2,6,mmc coelution,amyloid-like protein 2,False,amyloid like protein 2
Basement membrane-specific heparan sulfate proteoglycan core protein,6,mmc coelution,basement membrane-specific heparan sulfate proteoglycan core protein,False,basement membrane specific heparan sulfate proteoglycan core protein
Beta-actin,6,mmc coelution,beta-actin,False,beta actin
Calcium-dependent serine proteinase,6,mmc coelution,calcium-dependent serine proteinase,False,calcium dependent serine proteinase
Calsyntenin-1,6,mmc coelution,calsyntenin-1,False,calsyntenin 1
Cathepsin B,6,mmc coelution,cathepsin b,False,cathepsin b
