From	To
G3IIK9	XP_003514505.1
G3IIK9	XP_007612724.1
G3GYP9	XP_007608925.1
G3I4Z7	XP_003510318.1
G3I4Z7	XP_007622829.1
G3GVD0	XP_007646855.1
G3GTT2	XP_003495840.1
G3GTT2	XP_007609471.1
G3HNJ3	XP_003505201.2
G3HNJ3	XP_007614428.1
G3HNJ3	XP_007614429.1
G3HNJ3	XP_007614430.1
G3HNJ3	XP_007643887.1
G3HNJ3	XP_007643888.1
G3HC31	XP_003501691.1
G3HC31	XP_007612707.1
G3IBH0	XP_003512290.1
G3IBH0	XP_007628308.1
G3IBH0	XP_007628309.1
G3IBH0	XP_016836043.1
G3HUU6	XP_003507156.1
G3HUU6	XP_007624542.1
G3H533	XP_003499394.1
G3H533	XP_007608107.1
G3I4E8	XP_003510122.1
G3I4E8	XP_007619760.1
G3I6T1	XP_003510860.1
G3I5R2	XP_007612502.1
G3I5R2	XP_007649322.1
A4URF0	NP_001231068.1
G3I8R9	NP_001233668.1
G3HXL1	XP_003508012.1
G3H1D5	XP_003498238.1
G3ILF1	XP_003515285.1
G3ILF1	XP_007619930.1
G3I5N6	XP_003510533.1
G3I5N6	XP_007618529.1
G3IDM2	XP_003512969.1
G3IDM2	XP_007608891.1
G3IED5	XP_007651674.1
G3IED5	XP_016836399.1
G3I4W7	XP_003510282.1
G3I4W7	XP_007609796.1
G3GUR1	XP_003496147.2
G3GUR1	XP_007611665.1
G3IEU2	XP_003513352.1
G3IEU2	XP_007631695.1
G3HUU7	XP_007624545.1
G3HUU7	XP_007624546.1
G3HUU7	XP_007645862.1
G3HUU7	XP_007645863.1
G3HC47	XP_003501636.1
G3HC47	XP_007612601.1
G3HCL3	XP_003501858.1
G3HCL3	XP_007627369.1
G3H0L9	XP_003498026.1
G3H0L9	XP_007633396.1
G3H0L9	XP_016824024.1
G3H0L9	XP_016828063.1
G3INC5	XP_003515790.1
G3INC5	XP_007609075.1
G3I3K5	XP_003509851.1
G3I3K5	XP_007648643.1
G3I3K5	XP_007648644.1
G3I3K5	XP_016834889.1
G3I3K5	XP_016834890.1
G3HR10	XP_003506027.1
P50310	NP_001233654.1
G3IEG2	XP_003513237.1
G3IEG2	XP_007637133.1
G3IEG2	XP_016829126.1
G3IEG2	XP_016836409.1
G3HQY6	XP_007633232.1
G3HQY6	XP_007644638.1
G3INL9	XP_003515852.1
G3I4K4	XP_003510183.3
G3H2C9	XP_007626781.1
G3H2C9	XP_007626788.1
G3H2C9	XP_016821293.1
G3I2F5	XP_007608906.1
G3I2F5	XP_007648223.1
G3HYB2	XP_007628595.1
G3I3F3	XP_003509797.1
G3I3F3	XP_007609739.1
G3I3F3	XP_007609740.1
G3I3F3	XP_007648570.1
G3H9H3	XP_003500806.1
G3H9H3	XP_016827307.1
G3H9H3	XP_016830292.1
G3HAQ2	XP_003501184.1
G3HAQ2	XP_007616727.1
G3H9Y7	XP_003500950.1
G3IEY9	XP_007633528.1
G3IEY9	XP_007651837.1
G3IJA9	XP_003514706.1
G3IJA9	XP_007621395.1
G3I5L3	XP_003510519.1
G3I5L3	XP_007620413.1
G3GZB2	XP_003497625.1
Q9EPP7	XP_003496795.1
