name,desc_lower,acronym,desc_lower_2
Pyruvate kinase,pyruvate kinase,False,pyruvate kinase
Heat shock cognate 71 kDa protein,heat shock cognate 71 kda protein,False,heat shock cognate 71 kda protein
Peptidyl prolyl cis-trans isomerase,peptidyl prolyl cis-trans isomerase,False,peptidyl prolyl cis trans isomerase
Peroxiredoxin 1,peroxiredoxin 1,False,peroxiredoxin 1
Actin cytoplasmic 1,actin cytoplasmic 1,False,actin cytoplasmic 1
78 kDa glucose regulated protein,78 kda glucose regulated protein,False,78 kda glucose regulated protein
Phosphoglycerate kinase 1,phosphoglycerate kinase 1,False,phosphoglycerate kinase 1
Clusterin,clusterin,False,clusterin
Glyceraldehyde-3-phsophate dehydrogenase,glyceraldehyde-3-phsophate dehydrogenase,False,glyceraldehyde 3 phsophate dehydrogenase
Elongation factor 1 alpha 1,elongation factor 1 alpha 1,False,elongation factor 1 alpha 1
Aldose reductase related protein 2,aldose reductase related protein 2,False,aldose reductase related protein 2
Glutathione S transferase P,glutathione s transferase p,False,glutathione s transferase p
Elongation factor 2,elongation factor 2,False,elongation factor 2
Serine protease HTRA1,serine protease htra1,False,serine protease htra1
