accn,name,cq_g12,cq_eluate,hq_g12,hq_eluate,xq_g12,xq_eluate,pI_mean,mass_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,cysteine_cont_percent_mean,cysteine_num_mean,desc_lower,desc_lower_2
XP_027246103.1,clusterin [Cricetulus griseus],True,True,True,True,True,True,5.361981317545045,51757.18660000009,-10.01241178961575,-66.96790637656574,56.955494586949975,-0.02100898713420147,-0.14051837989013355,0.11950939275593205,2.460850111856823,11.0,clusterin,clusterin
NP_001233668.1,endoplasmic reticulum chaperone BiP precursor [Cricetulus griseus],True,True,True,True,True,True,4.531528394036766,72378.15180000033,-20.56805480031542,-111.94394043007878,91.37588562976336,-0.03451186383403434,-0.1878346818245974,0.15332281799056305,0.45871559633027525,3.0,endoplasmic reticulum chaperone bip precursor,endoplasmic reticulum chaperone bip precursor
XP_027260200.1,serine protease HTRA1 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,9.15727515861746,51272.382000000034,4.407900272215746,-55.97595153685083,60.38385180906658,0.009307283659799753,-0.1181932500525445,0.12750053371234424,3.3333333333333335,16.0,serine protease htra1 isoform x2,serine protease htra1 isoform x2
XP_027272396.1,cytoplasmic dynein 1 heavy chain 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.395409515115728,532604.7447000023,-31.149144793837173,-639.7227739050758,608.5736291112386,-0.013815171897148287,-0.28372785662377853,0.26991268472663027,1.053763440860215,49.0,cytoplasmic dynein 1 heavy chain 1 isoform x2,cytoplasmic dynein 1 heavy chain 1 isoform x2
XP_027270674.1,pyruvate kinase PKM isoform X2 [Cricetulus griseus],True,True,True,True,True,True,7.42707565731219,57893.154600000096,1.9838589761961583,-67.97002377029835,69.95388274649451,0.003863131631328746,-0.13235676122133966,0.13621989285266844,1.8832391713747645,10.0,pyruvate kinase pkm isoform x2,pyruvate kinase pkm isoform x2
NP_001231504.1,"actin, cytoplasmic 1 [Cricetulus griseus]",True,True,False,True,True,True,4.7934520891103105,41737.27270000006,-10.812365883659607,-50.98481730288996,40.17245141923035,-0.026186947355771026,-0.1234823849858923,0.09729543763012125,1.6,6.0,"actin, cytoplasmic 1",actin cytoplasmic 1
XP_027268152.1,T-complex protein 1 subunit theta isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.087757449044016,59557.84720000012,-10.54105948326589,-73.9694914788599,63.42843199559399,-0.02014211739371914,-0.14134273535655015,0.12120061796283095,1.824817518248175,10.0,t-complex protein 1 subunit theta isoform x2,t complex protein 1 subunit theta isoform x2
XP_027243210.1,heat shock protein HSP 90-beta isoform X11 [Cricetulus griseus],True,True,False,True,True,True,4.441274090406351,83266.2108000003,-36.71995322764011,-147.9254380006578,111.2054847730177,-0.056118118845666864,-0.22607047614019365,0.16995235729452676,0.8287292817679558,6.0,heat shock protein hsp 90-beta isoform x11,heat shock protein hsp 90 beta isoform x11
NP_001230968.1,elongation factor 2 [Cricetulus griseus],True,True,False,True,True,True,6.8819238070241076,95323.01470000051,-0.9591867013474683,-114.9530410868289,113.99385438548143,-0.0013395270532790325,-0.1605346573051817,0.15919513025190266,1.9813519813519813,17.0,elongation factor 2,elongation factor 2
XP_027282154.1,clathrin heavy chain 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,5.237047469019733,191626.41039999994,-31.96477475535984,-219.92596437344415,187.96118961808432,-0.0280251701777174,-0.19282046018581434,0.16479529000809695,1.8507462686567162,31.0,clathrin heavy chain 1 isoform x3,clathrin heavy chain 1 isoform x3
XP_027246969.1,protocadherin Fat 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,4.279651804607389,504028.4472000043,-222.8246734817489,-644.8017562903967,421.97708280864765,-0.10252743661495693,-0.29669008446989364,0.19416264785493664,1.2269938650306749,56.0,protocadherin fat 1 isoform x3,protocadherin fat 1 isoform x3
XP_027244682.1,lipoprotein lipase isoform X2 [Cricetulus griseus],True,True,True,True,True,True,8.67637998866931,52944.50670000003,5.75402296027107,-54.985385713976285,60.73940867424735,0.011892445575853672,-0.11364409067981536,0.12553653625566902,2.109704641350211,10.0,lipoprotein lipase isoform x2,lipoprotein lipase isoform x2
XP_027254100.1,alpha-enolase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.2892524773508205,47152.30890000006,-2.594502894470937,-57.97692286128206,55.38241996681112,-0.005792940084438239,-0.12944939900866498,0.12365645892422673,1.3824884792626728,6.0,alpha-enolase isoform x2,alpha enolase isoform x2
NP_001231331.1,elongation factor 1-alpha 1 [Cricetulus griseus],True,True,True,True,True,True,9.743461796259844,50113.24840000008,13.445714011127736,-53.981443116736706,67.42715712786445,0.028826750268938547,-0.11573275904836568,0.1445595093173042,1.2987012987012987,6.0,elongation factor 1-alpha 1,elongation factor 1 alpha 1
