From	To
G3I8R9	NP_001233668.1
P48975	NP_001231504.1
G3I5A4	XP_003510417.1
G3I5A4	XP_007634890.1
G3GTT2	XP_003495840.1
G3GTT2	XP_007609471.1
A4URF0	NP_001231068.1
A0A061HUH1	XP_007608413.1
A0A061HUH1	XP_007626982.1
A0A061HUH1	XP_007633801.1
A0A061HUH1	XP_007640254.1
A0A061HUH1	XP_007649343.1
G3GYY6	XP_003497488.2
G3H0L9	XP_003498026.1
G3H0L9	XP_007633396.1
G3H0L9	XP_016824024.1
G3H0L9	XP_016828063.1
G3I4W7	XP_003510282.1
G3I4W7	XP_007609796.1
G3INC5	XP_003515790.1
G3INC5	XP_007609075.1
Q9EPP7	XP_003496795.1
G3H0E4	XP_003497965.1
G3HNJ3	XP_003505201.2
G3HNJ3	XP_007614428.1
G3HNJ3	XP_007614429.1
G3HNJ3	XP_007614430.1
G3HNJ3	XP_007643887.1
G3HNJ3	XP_007643888.1
G3IDM2	XP_003512969.1
G3IDM2	XP_007608891.1
P62629	NP_001231331.1
P09445	NP_001230968.1
G3HQM6	XP_003505898.1
Q91Z81	NP_001233703.1
G3I4H6	XP_003510151.1
G3I4H6	XP_003510153.1
G3I4H6	XP_007648928.1
G3I4H6	XP_016821635.1
G3I4H6	XP_016821636.1
G3I4H6	XP_016821637.1
G3H3E4	XP_003498865.1
P48538	XP_003510318.1
P48538	XP_007622829.1
P17244	NP_001231783.1
G3HLK3	XP_016828793.1
G3HLK3	XP_016832177.1
G3IHE5	XP_003514142.1
G3IHE5	XP_007618142.1
P19378	NP_001233658.1
P46633	NP_001233750.1
G3H3P8	XP_003498963.1
G3H3P8	XP_007613342.1
G3HDU3	XP_003502223.1
G3HDU3	XP_007634639.1
Q06BU8	NP_001230979.1
Q06BU8	XP_007648110.1
G3HG25	XP_003502901.1
G3I1H5	XP_003509181.1
G3I1H5	XP_007633783.1
G3HQY6	XP_007633232.1
G3HQY6	XP_007644638.1
G3HKV9	XP_003504359.1
G3HKV9	XP_007610064.1
G3HDQ2	XP_003502188.1
G3HDQ2	XP_007632141.1
G3HRK9	XP_003506250.1
G3HRK9	XP_007619059.1
G3IBH0	XP_003512290.1
G3IBH0	XP_007628308.1
G3IBH0	XP_007628309.1
G3IBH0	XP_016836043.1
G3HBD3	XP_003501422.1
G3HBD3	XP_007611651.1
G3HBD3	XP_007611652.1
G3HBD3	XP_007640211.1
P14851	XP_007643466.1
Q9JKY1	NP_001233694.1
P50310	NP_001233654.1
G3I6T1	XP_003510860.1
G3HNQ5	XP_003505286.1
G3HNQ5	XP_007629444.1
G3H8V4	XP_003500579.1
Q8R4U2	NP_001233622.1
G3HC31	XP_003501691.1
G3HC31	XP_007612707.1
G3H7Z2	XP_003500278.1
G3H7Z2	XP_007631477.1
G3GUU5	XP_003496163.1
G3GUU5	XP_007610625.1
P68362	NP_001230907.1
P68365	NP_001230906.1
G3I3N5	XP_003509877.1
