accn,name,cq_g12,cq_eluate,hq_g12,hq_eluate,xq_g12,xq_eluate,pI,mass,desc_lower_2
XP_027246103.1,clusterin [Cricetulus griseus],True,True,True,True,True,True,5.361981317545045,51757.18660000009,clusterin
NP_001233668.1,endoplasmic reticulum chaperone BiP precursor [Cricetulus griseus],True,True,True,True,True,True,4.531528394036766,72378.15180000033,endoplasmic reticulum chaperone bip precursor
XP_027260200.1,serine protease HTRA1 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,9.15727515861746,51272.382000000034,serine protease htra1 isoform x2
XP_027272396.1,cytoplasmic dynein 1 heavy chain 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.395409515115728,532604.7447000023,cytoplasmic dynein 1 heavy chain 1 isoform x2
XP_027270674.1,pyruvate kinase PKM isoform X2 [Cricetulus griseus],True,True,True,True,True,True,7.42707565731219,57893.154600000096,pyruvate kinase pkm isoform x2
NP_001231504.1,"actin, cytoplasmic 1 [Cricetulus griseus]",True,True,False,True,True,True,4.7934520891103105,41737.27270000006,actin cytoplasmic 1
XP_027268152.1,T-complex protein 1 subunit theta isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.087757449044016,59557.84720000012,t complex protein 1 subunit theta isoform x2
XP_027243210.1,heat shock protein HSP 90-beta isoform X11 [Cricetulus griseus],True,True,False,True,True,True,4.441274090406351,83266.2108000003,heat shock protein hsp 90 beta isoform x11
NP_001230968.1,elongation factor 2 [Cricetulus griseus],True,True,False,True,True,True,6.8819238070241076,95323.01470000051,elongation factor 2
XP_027282154.1,clathrin heavy chain 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,5.237047469019733,191626.41039999994,clathrin heavy chain 1 isoform x3
XP_027246969.1,protocadherin Fat 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,4.279651804607389,504028.4472000043,protocadherin fat 1 isoform x3
XP_027244682.1,lipoprotein lipase isoform X2 [Cricetulus griseus],True,True,True,True,True,True,8.67637998866931,52944.50670000003,lipoprotein lipase isoform x2
XP_027254100.1,alpha-enolase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.2892524773508205,47152.30890000006,alpha enolase isoform x2
NP_001231331.1,elongation factor 1-alpha 1 [Cricetulus griseus],True,True,True,True,True,True,9.743461796259844,50113.24840000008,elongation factor 1 alpha 1
XP_027274543.1,bifunctional glutamate/proline--tRNA ligase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,7.298122631319826,169778.9322000001,bifunctional glutamate/proline  trna ligase isoform x2
XP_027281136.1,fatty acid synthase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.384175464842418,271855.51970000047,fatty acid synthase isoform x2
NP_001233662.1,T-complex protein 1 subunit alpha [Cricetulus griseus],True,True,False,True,True,True,5.653642910978689,60337.89620000016,t complex protein 1 subunit alpha
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],True,True,False,True,True,True,9.134350313739569,35747.51060000005,glyceraldehyde 3 phosphate dehydrogenase
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],True,True,True,True,True,True,9.049789503598163,22262.345599999997,peroxiredoxin 1
NP_001233658.1,heat shock cognate 71 kDa protein [Cricetulus griseus],True,True,False,True,True,True,4.7115209221398295,70804.06140000028,heat shock cognate 71 kda protein
XP_027282087.1,retinoid-inducible serine carboxypeptidase [Cricetulus griseus],True,True,False,True,True,True,5.060955398717251,51253.204000000034,retinoid inducible serine carboxypeptidase
XP_027248903.1,T-complex protein 1 subunit gamma [Cricetulus griseus],True,True,False,True,True,True,6.6479182237691266,60619.30580000015,t complex protein 1 subunit gamma
XP_027245386.1,transketolase [Cricetulus griseus],True,True,False,True,True,True,8.268214782845508,67715.8548000003,transketolase
XP_027281297.1,lysosomal alpha-glucosidase [Cricetulus griseus],True,True,False,True,True,True,5.9064938347912985,105846.24380000072,lysosomal alpha glucosidase
XP_027248157.1,T-complex protein 1 subunit beta [Cricetulus griseus],True,True,False,True,True,True,6.450603828999277,57489.65380000011,t complex protein 1 subunit beta
XP_027269616.1,T-complex protein 1 subunit zeta [Cricetulus griseus],True,True,False,True,True,True,6.949940807744519,57974.49610000006,t complex protein 1 subunit zeta
XP_027263554.1,40S ribosomal protein S3 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,10.298632201814437,26673.970999999994,40s ribosomal protein s3 isoform x2
XP_027279242.1,phospholipid transfer protein isoform X2 [Cricetulus griseus],True,False,False,False,False,False,6.155778998853372,49224.70210000004,phospholipid transfer protein isoform x2
XP_027248343.1,endoplasmin [Cricetulus griseus],True,True,False,True,True,True,4.206890541875872,92492.67600000053,endoplasmin
XP_027264128.1,elongation factor 1-gamma [Cricetulus griseus],True,True,False,True,True,True,6.832509201485864,50067.09550000013,elongation factor 1 gamma
XP_027254057.1,"6-phosphogluconate dehydrogenase, decarboxylating [Cricetulus griseus]",True,True,True,True,True,True,6.947700190050979,53286.59950000007,6 phosphogluconate dehydrogenase decarboxylating
XP_027252956.1,bifunctional purine biosynthesis protein PURH [Cricetulus griseus],True,True,False,True,True,True,7.038576487405794,64650.1807000002,bifunctional purine biosynthesis protein purh
XP_027284552.1,T-complex protein 1 subunit eta isoform X2 [Cricetulus griseus],True,True,False,True,True,True,7.654180670403363,59468.24990000011,t complex protein 1 subunit eta isoform x2
XP_027284484.1,ruvB-like 1 [Cricetulus griseus],True,True,False,True,True,True,6.395388666237686,50213.402,ruvb like 1
XP_027243489.1,filamin-B isoform X3 [Cricetulus griseus],True,True,False,True,True,True,5.339134483801959,275315.4765000004,filamin b isoform x3
XP_027262178.1,lysosomal acid lipase/cholesteryl ester hydrolase [Cricetulus griseus],True,True,False,True,True,True,7.905739320470202,45634.76430000001,lysosomal acid lipase/cholesteryl ester hydrolase
NP_001230908.1,tubulin alpha-1B chain [Cricetulus griseus],True,True,False,True,True,True,4.434755102615731,50151.06600000007,tubulin alpha 1b chain
XP_027269956.1,putative phospholipase B-like 2 [Cricetulus griseus],True,True,True,True,True,True,6.194392494636227,65540.10060000015,putative phospholipase b like 2
XP_027243827.1,T-complex protein 1 subunit delta [Cricetulus griseus],True,True,False,True,True,True,9.153687202250472,58128.78600000004,t complex protein 1 subunit delta
XP_027247130.1,staphylococcal nuclease domain-containing protein 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,8.730040445766068,103435.56570000057,staphylococcal nuclease domain containing protein 1 isoform x2
XP_027243868.1,ras-related protein Rab-1A [Cricetulus griseus],True,True,False,True,True,True,5.858562425643052,22677.491399999995,ras related protein rab 1a
XP_027280523.1,peroxidasin homolog isoform X1 [Cricetulus griseus],True,True,False,True,True,True,7.171541278150619,165363.0169,peroxidasin homolog isoform x1
XP_027255877.1,T-complex protein 1 subunit epsilon [Cricetulus griseus],True,True,False,True,True,True,4.9161420544134895,59534.10540000009,t complex protein 1 subunit epsilon
XP_027245995.1,bone morphogenetic protein 1 isoform X4 [Cricetulus griseus],True,True,False,True,True,True,6.65656077725968,93515.6816000006,bone morphogenetic protein 1 isoform x4
XP_027260762.1,tripeptidyl-peptidase 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,6.594852412305116,62509.60270000021,tripeptidyl peptidase 1 isoform x3
XP_027288075.1,ubiquitin-like modifier-activating enzyme 1 [Cricetulus griseus],True,True,False,True,True,True,5.142723140384453,117696.38720000061,ubiquitin like modifier activating enzyme 1
XP_027261821.1,"alanine--tRNA ligase, cytoplasmic [Cricetulus griseus]",True,True,False,True,True,True,5.02811143825487,106855.22940000064,alanine  trna ligase cytoplasmic
