accn,name,cq_g12,cq_eluate,hq_g12,hq_eluate,xq_g12,xq_eluate,pI_mean,mass_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,cysteine_cont_percent_mean,cysteine_num_mean,desc_lower,perfect_match,contains_actin,contains_ubiquitin,desc_lower_2,Biophorum DTR,Biophorum high-risk,Levy 2014 - Association,Zhang 2016 - Pro A,Levy 2016 - Coelution,Molden 2021 - 29 DS,Falkenberg 2019 - 6 DS,Kreimer 2017 - 1 DS,Aboulaich 2014 - Association
NP_001231504.1,"actin, cytoplasmic 1 [Cricetulus griseus]",True,True,False,True,True,True,4.793452089110311,41737.27270000006,-10.812365883659607,-50.98481730288996,40.17245141923035,-0.026186947355771,-0.1234823849858923,0.0972954376301212,1.6,6.0,"actin, cytoplasmic 1",True,True,,actin cytoplasmic 1,actin cytoplasmic 1,,actin,actin cytoplasmic 1,actin,,,,actin cytoplasmic 1
XP_027278064.1,"actin, alpha cardiac muscle 1 [Cricetulus griseus]",False,True,False,True,False,False,4.804037956749926,42018.51740000005,-10.81259136652502,-50.98504278575537,40.17245141923035,-0.0260705079853461,-0.1229313048113863,0.0968607968260401,1.5915119363395225,6.0,"actin, alpha cardiac muscle 1",True,True,,actin alpha cardiac muscle 1,,,actin,,actin,,,,actin alpha cardiac muscle 1
XP_027246103.1,clusterin [Cricetulus griseus],True,True,True,True,True,True,5.361981317545045,51757.18660000009,-10.01241178961575,-66.96790637656574,56.955494586949975,-0.0210089871342014,-0.1405183798901335,0.119509392755932,2.460850111856823,11.0,clusterin,True,,,clusterin,clusterin,clusterin,clusterin,clusterin,clusterin,clusterin,,clusterin,clusterin
NP_001230968.1,elongation factor 2 [Cricetulus griseus],True,True,False,True,True,True,6.881923807024108,95323.01470000052,-0.9591867013474684,-114.9530410868289,113.99385438548144,-0.001339527053279,-0.1605346573051817,0.1591951302519026,1.981351981351981,17.0,elongation factor 2,True,,,elongation factor 2,elongation factor 2,,,elongation factor 2,,,,,elongation factor 2
NP_001231331.1,elongation factor 1-alpha 1 [Cricetulus griseus],True,True,True,True,True,True,9.743461796259844,50113.24840000008,13.445714011127736,-53.98144311673671,67.42715712786445,0.0288267502689385,-0.1157327590483656,0.1445595093173042,1.2987012987012987,6.0,elongation factor 1-alpha 1,True,,,elongation factor 1 alpha 1,elongation factor 1 alpha,,,elongation factor 1 alpha 1,,elongation factor 1 alpha 1,,,
NP_001233662.1,T-complex protein 1 subunit alpha [Cricetulus griseus],True,True,False,True,True,True,5.653642910978689,60337.89620000016,-6.061491564201489,-75.96656557282816,69.90507400862666,-0.0114824064447269,-0.1439050063632519,0.1324225999185249,1.618705035971223,9.0,t-complex protein 1 subunit alpha,True,,,t complex protein 1 subunit alpha,,,,,,,,,t complex protein 1 subunit alpha
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],True,True,False,True,True,True,9.134350313739567,35747.51060000005,4.130416251623557,-34.992495508761195,39.122911760384746,0.011092007076445,-0.0939704340096679,0.1050624410861129,1.2012012012012012,4.0,glyceraldehyde-3-phosphate dehydrogenase,True,,,glyceraldehyde 3 phosphate dehydrogenase,glyceraldehyde 3 phosphate dehydrogenase,,,,glyceraldehyde 3 phosphate dehydrogenase,,,,glyceraldehyde 3 phosphate dehydrogenase
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],True,True,True,True,True,True,9.049789503598165,22262.3456,2.6065143814684184,-23.995205179056267,26.601719560524685,0.0095982715231779,-0.0883603390798092,0.0979586106029872,2.512562814070352,5.0,peroxiredoxin-1,True,,,peroxiredoxin 1,peroxiredoxin 1,peroxiredoxin,,peroxiredoxin 1,,peroxiredoxin 1,peroxiredoxin 1,peroxiredoxin 1,peroxiredoxin 1
NP_001233658.1,heat shock cognate 71 kDa protein [Cricetulus griseus],True,True,False,True,True,True,4.7115209221398295,70804.06140000028,-13.58225751602908,-96.96019893399972,83.37794141797065,-0.0231266840127156,-0.1650953738662612,0.1419686898535456,0.6191950464396285,4.0,heat shock cognate 71 kda protein,True,,,heat shock cognate 71 kda protein,heat shock cognate 71 kda protein,,,heat shock cognate 71 kda protein,,,,,heat shock cognate 71 kda protein
XP_027248903.1,T-complex protein 1 subunit gamma [Cricetulus griseus],True,True,False,True,True,True,6.647918223769127,60619.30580000015,-1.7949167823129493,-75.96307662692872,74.16815984461577,-0.0033896162420734,-0.1434527109388933,0.1400630946968199,1.834862385321101,10.0,t-complex protein 1 subunit gamma,True,,,t complex protein 1 subunit gamma,,,,,,,,,t complex protein 1 subunit gamma
